NAME,NFTGD_NB,FTGD_NB,SUBSUMED,NEW_FTGD_NB,NEW_NFTGD_NB,NEW_OUTPUT_SIZE,OUTPUT_SIZE,NEW_RTGD_BSK,BODY_SK_ATOMS_MAX,EVOL_COUNT,EVOL_TIME,SUMB_TIME,TIME
00001,253,2475,140563,41628,119804,54,2529,N/A,N/A,654164,16164,10659,30174
00002,432,942,3654,325,3460,161,1103,N/A,N/A,12884,423,133,1168
00003,16709,3263,337811,237780,115084,145,3408,N/A,N/A,15442015,483998,31969,TIMEOUT
00004,16705,2107,112110,200,131047,0,2107,N/A,N/A,18891836,446104,100505,TIMEOUT
00005,16705,3211,17919,374,92431,0,3211,N/A,N/A,112771,27398,562211,TIMEOUT
00006,1075,165,0,0,0,0,165,N/A,N/A,2,3,0,175
00007,22,169,22,5,18,0,169,N/A,N/A,107,25,4,111
00012,13,279,20,6,17,0,279,N/A,N/A,76,13,3,118
00013,76,1265,932890,329665,620081,105,1370,N/A,N/A,4804378,123973,146239,284871
00014,139,1545,1489343,492742,1024923,217,1762,N/A,N/A,5525101,214589,361791,TIMEOUT
00015,13,345,2221,881,1521,11,356,N/A,N/A,9594,495,78,829
00016,65,1055,612627,229083,396641,87,1142,N/A,N/A,3333075,101348,150206,262045
00017,65,1177,760212,271881,501206,87,1264,N/A,N/A,4145083,104188,143261,260199
00018,85,1136,740228,267232,485896,124,1260,N/A,N/A,3931551,99144,125011,235853
00019,68,1078,787134,303131,498739,90,1168,N/A,N/A,4045919,104176,189558,305696
00020,83,1315,1324395,517136,831358,136,1451,N/A,N/A,7401483,257159,316657,TIMEOUT
00021,110,1197,1053235,430069,638277,151,1348,N/A,N/A,5278961,142751,264409,425362
00022,13,425,3306,1345,2142,11,436,N/A,N/A,14648,681,88,1025
00023,13,429,2509,993,1697,11,440,N/A,N/A,11784,534,82,858
00024,139,1545,1380764,536610,869998,217,1762,N/A,N/A,5838992,178762,396964,TIMEOUT
00025,68,987,574,126,471,24,1011,N/A,N/A,3682,162,15,371
00026,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ERROR
00027,23858,31647,11678,2601,9904,6,31653,N/A,N/A,886557,577054,2316,TIMEOUT
00029,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ERROR
00030,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ERROR
00032,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ERROR
00033,12339,9462,105541,8777,105979,1,9463,N/A,N/A,7391363,518334,48299,TIMEOUT
00034,12339,9364,368559,55446,359053,45094,54458,N/A,N/A,35383529,510094,18827,TIMEOUT
00036,12329,9456,105618,8715,106001,1,9457,N/A,N/A,6745286,515014,55979,TIMEOUT
00037,12323,9445,80480,9431,80803,1,9446,N/A,N/A,8164073,517845,45395,TIMEOUT
00038,12339,9457,133206,9550,133650,1,9458,N/A,N/A,7493338,515819,50274,TIMEOUT
00039,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ERROR
00040,43622,100787,41450,2176,42361,0,100787,N/A,N/A,9709170,538895,7609,TIMEOUT
00041,14319,67437,149985,433,159325,427,67864,N/A,N/A,11696775,527353,28768,TIMEOUT
00042,15417,71082,171285,822,178274,813,71895,N/A,N/A,11398016,526707,31642,TIMEOUT
00043,18612,115810,145028,512,152620,490,116300,N/A,N/A,11112776,530256,26302,TIMEOUT
00044,14319,67400,130350,433,137862,427,67827,N/A,N/A,10349123,536341,23122,TIMEOUT
00045,42430,98673,42130,6263,42199,290,98963,N/A,N/A,26268885,476638,3769,TIMEOUT
00046,15352,69253,136680,433,145020,427,69680,N/A,N/A,10959387,513572,30746,TIMEOUT
00047,14431,67545,121422,435,129596,427,67972,N/A,N/A,10226022,533220,27361,TIMEOUT
00048,14739,70580,147112,438,154043,432,71012,N/A,N/A,11326888,530286,27032,TIMEOUT
00049,15,52,90,33,65,8,60,N/A,N/A,430,67,9,170
00050,15,51,90,33,65,8,59,N/A,N/A,414,79,18,217
00052,3764,25233,16931,0,16930,0,25233,N/A,N/A,125373,2417,308,4624
00055,23,212,53,9,58,2,214,N/A,N/A,201,38,7,148
00057,3,11,6,0,6,0,11,N/A,N/A,21,9,2,74
00058,3,7,0,0,0,0,7,N/A,N/A,6,5,0,64
00059,5,47,0,0,0,0,47,N/A,N/A,10,6,0,92
00060,9,72,1,0,1,0,72,N/A,N/A,21,7,2,87
00062,11,72,0,0,0,0,72,N/A,N/A,22,7,0,95
00063,12,61,0,0,0,0,61,N/A,N/A,24,8,0,88
00065,3,12,2,0,2,0,12,N/A,N/A,16,8,2,114
00066,1,20,0,0,0,0,20,N/A,N/A,2,3,0,64
00068,2,33,0,0,0,0,33,N/A,N/A,2,3,0,65
00069,1,8,0,0,0,0,8,N/A,N/A,2,3,0,61
00071,1,14,0,0,0,0,14,N/A,N/A,2,3,0,81
00072,1,31,0,0,0,0,31,N/A,N/A,2,3,0,66
00073,6,77,2,3,0,1,78,N/A,N/A,12,6,2,91
00075,2,125,0,1,0,1,126,N/A,N/A,4,3,2,85
00078,10,748,63,6,62,5,753,N/A,N/A,245,29,5,164
00079,2,32,0,0,0,0,32,N/A,N/A,2,3,0,77
00081,93,679,1,0,1,0,679,N/A,N/A,189,21,2,166
00082,196,263,457,2,457,2,265,N/A,N/A,1726,106,25,288
00094,17,138,14,13,12,11,149,N/A,N/A,71,16,4,118
00106,4,43,2,0,2,0,43,N/A,N/A,15,6,2,82
