NAME,NFTGD_NB,FTGD_NB,SUBSUMED,NEW_FTGD_NB,NEW_NFTGD_NB,NEW_OUTPUT_SIZE,OUTPUT_SIZE,BODY_SK_ATOMS_MAX,EVOL_TIME,SUMB_TIME,TIME
00001,254,2574,256939,77641,204363,158,2732,N/A,192465,396762,TIMEOUT
00002,432,1123,16342,2062,14914,500,1623,N/A,5871,1233,7896
00003,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1233,ERROR
00004,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1233,ERROR
00005,16705,2487,156510,79492,87684,586,3073,N/A,235056,349339,TIMEOUT
00006,1075,165,0,0,0,0,165,N/A,11,0,276
00007,22,181,36,5,37,0,181,N/A,59,5,177
00008,22,181,39,5,40,0,181,N/A,60,5,207
00009,22,176,34,5,34,0,176,N/A,52,5,175
00010,22,172,27,5,24,0,172,N/A,52,4,187
00011,22,180,37,5,37,0,180,N/A,58,5,192
00012,13,286,28,6,27,0,286,N/A,37,6,182
00013,76,1290,352434,90929,264875,9,1299,N/A,520046,63676,TIMEOUT
00014,139,1593,245745,82581,167093,5,1598,N/A,531027,51040,TIMEOUT
00015,13,348,38035,9156,29394,28,376,N/A,15293,1429,18178
00016,65,1064,404385,145497,266408,69,1133,N/A,394260,187285,TIMEOUT
00017,65,1196,219551,91880,132082,12,1208,N/A,519406,58894,TIMEOUT
00018,85,1147,308745,104496,208792,15,1162,N/A,487812,96874,TIMEOUT
00019,68,1098,290729,112477,185539,37,1135,N/A,503406,77309,TIMEOUT
00020,83,1347,147951,59149,92452,9,1356,N/A,556923,21630,TIMEOUT
00021,110,1234,312952,133330,183006,9,1243,N/A,535439,45176,TIMEOUT
00022,13,426,11884,3300,8808,40,466,N/A,4134,333,4886
00023,13,432,12672,3392,9481,26,458,N/A,4758,303,5617
00024,139,1585,437695,179855,265551,6,1591,N/A,471001,109222,TIMEOUT
00025,68,1013,2506,567,2058,79,1092,N/A,1797,140,2325
00026,23858,40501,18386,1096,17587,9,40510,N/A,556648,33197,TIMEOUT
00027,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,33197,ERROR
00028,23858,42894,10192,733,9623,14,42908,N/A,568676,23835,TIMEOUT
00029,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,23835,ERROR
00030,2096,4423,57152,770,56815,1,4424,N/A,585264,8955,TIMEOUT
00031,2096,4758,46292,663,46193,1,4759,N/A,585547,8221,TIMEOUT
00032,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8221,ERROR
00033,12339,14161,32935,3750,30904,15,14176,N/A,552986,27623,TIMEOUT
00034,12339,13217,46376,2605,46059,1292,14509,N/A,466988,95772,TIMEOUT
00035,12339,14887,12564,1776,12537,17,14904,N/A,565509,14115,TIMEOUT
00036,12329,12603,18501,5625,15113,3,12606,N/A,558429,20033,TIMEOUT
00037,12323,13827,128480,8267,122082,45,13872,N/A,489681,96114,TIMEOUT
00038,12339,15014,179380,2560,177873,2,15016,N/A,474397,118049,TIMEOUT
00039,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,118049,ERROR
00040,43622,128054,11508,4845,9871,3026,131080,N/A,411668,110202,TIMEOUT
00041,14319,78929,18394,8757,15030,4971,83900,N/A,419577,104756,TIMEOUT
00042,15417,75681,27554,9685,23983,5610,81291,N/A,422058,110515,TIMEOUT
00043,18612,128554,16773,5600,14690,2720,131274,N/A,431526,110708,TIMEOUT
00044,14319,72098,20230,1829,21474,1445,73543,N/A,479126,57960,TIMEOUT
00045,42430,127608,17836,8261,17118,7450,135058,N/A,349471,184051,TIMEOUT
00046,15352,83345,28083,27,31179,26,83371,N/A,537479,31705,TIMEOUT
00047,14431,80979,10408,3083,9791,2465,83444,N/A,465074,46912,TIMEOUT
00049,15,56,377,221,216,16,72,N/A,203,15,324
00050,15,57,234,135,138,22,79,N/A,174,13,287
00051,0,0,0,0,0,0,0,N/A,0,0,13
00052,3764,25233,17689,0,17687,0,25233,N/A,11053,10149,24779
00053,0,1129,0,0,0,0,1129,N/A,0,0,231
00054,0,3,0,0,0,0,3,N/A,0,0,36
00055,23,220,67,18,70,7,227,N/A,78,8,194
00056,0,12,0,0,0,0,12,N/A,0,0,41
00057,3,11,6,0,6,0,11,N/A,32,2,96
00058,3,7,0,0,0,0,7,N/A,15,0,86
00059,5,47,0,0,0,0,47,N/A,14,0,93
00060,9,76,9,0,10,0,76,N/A,29,3,118
00061,0,6,0,0,0,0,6,N/A,0,0,39
00062,11,76,4,0,4,0,76,N/A,18,1,106
00063,12,67,10,0,13,0,67,N/A,33,3,122
00064,0,3,0,0,0,0,3,N/A,0,0,35
00065,3,14,2,0,4,0,14,N/A,24,2,100
00066,1,21,1,0,1,0,21,N/A,10,1,83
00067,0,24,0,0,0,0,24,N/A,0,0,43
00068,2,33,0,0,0,0,33,N/A,3,0,79
00069,1,8,0,0,1,0,8,N/A,16,2,85
00070,0,42,0,0,0,0,42,N/A,0,0,61
00071,1,15,1,0,1,0,15,N/A,24,1,86
00072,1,31,0,0,0,0,31,N/A,10,0,84
00073,6,79,4,3,2,1,80,N/A,22,2,107
00074,0,21,0,0,0,0,21,N/A,0,0,42
00075,2,127,2,1,2,1,128,N/A,11,2,97
00076,0,186,0,0,0,0,186,N/A,0,0,71
00077,0,4,0,0,0,0,4,N/A,0,0,37
00078,43,726,238,358,221,330,1056,N/A,285,95,587
00079,2,31,0,0,0,0,31,N/A,14,0,89
00080,0,26,0,0,0,0,26,N/A,0,0,45
00081,93,717,66,0,68,0,717,N/A,90,8,289
00082,200,272,479,2,479,2,274,N/A,306,48,542
00083,0,15,0,0,0,0,15,N/A,0,0,41
00084,0,4,0,0,0,0,4,N/A,0,0,37
00085,0,2,0,0,0,0,2,N/A,0,0,36
00086,0,0,0,0,0,0,0,N/A,0,0,13
00087,0,77,0,0,0,0,77,N/A,0,0,63
00088,0,105,0,0,0,0,105,N/A,0,0,56
00089,0,87,0,0,0,0,87,N/A,0,0,67
00090,0,66,0,0,0,0,66,N/A,0,0,61
00091,0,13,0,0,0,0,13,N/A,0,0,42
00092,0,32,0,0,0,0,32,N/A,0,0,46
00093,0,216,0,0,0,0,216,N/A,0,0,81
00094,17,150,19,14,17,11,161,N/A,33,6,133
00095,0,63,0,0,0,0,63,N/A,0,0,62
00096,0,0,0,0,0,0,0,N/A,0,0,12
00097,0,0,0,0,0,0,0,N/A,0,0,13
00098,0,0,0,0,0,0,0,N/A,0,0,13
00099,0,0,0,0,0,0,0,N/A,0,0,13
00100,0,0,0,0,0,0,0,N/A,0,0,13
00101,0,0,0,0,0,0,0,N/A,0,0,13
00102,0,0,0,0,0,0,0,N/A,0,0,13
00103,0,259,0,0,0,0,259,N/A,0,0,82
00104,0,1118,0,0,0,0,1118,N/A,0,0,164
00105,0,11,0,0,0,0,11,N/A,0,0,41
00106,4,45,3,1,4,1,46,N/A,17,2,99
00107,0,22,0,0,0,0,22,N/A,0,0,55
00108,0,16,0,0,0,0,16,N/A,0,0,41
00109,0,83,0,0,0,0,83,N/A,0,0,66
00110,177,253,418,1,418,1,254,N/A,240,38,431
00111,0,43,0,0,0,0,43,N/A,0,0,57
00112,20,125,49,24,41,12,137,N/A,62,6,162
00113,12,24,0,0,0,0,24,N/A,13,0,92
00114,24,43,146,82,147,56,99,N/A,209,14,323
00115,0,216,0,0,0,0,216,N/A,0,0,79
00116,11,34,50,25,42,15,49,N/A,61,6,148
00117,2437,5753,48840,669,48782,1,5754,N/A,583900,9652,TIMEOUT
00118,19,96,678,203,536,32,128,N/A,421,25,571
00119,0,3,0,0,0,0,3,N/A,0,0,37
00120,10,62,66,40,50,13,75,N/A,65,8,160
00121,0,0,0,0,0,0,0,N/A,0,0,13
00122,0,2,0,0,0,0,2,N/A,0,0,35
00123,0,0,0,0,0,0,0,N/A,0,0,13
00124,0,0,0,0,0,0,0,N/A,0,0,13
00125,0,0,0,0,0,0,0,N/A,0,0,13
00126,0,0,0,0,0,0,0,N/A,0,0,13
00127,0,0,0,0,0,0,0,N/A,0,0,13
00128,0,1,0,0,0,0,1,N/A,0,0,34
00129,0,13,0,0,0,0,13,N/A,0,0,42
00130,0,3,0,0,0,0,3,N/A,0,0,36
00131,0,0,0,0,0,0,0,N/A,0,0,13
00132,0,18,0,0,0,0,18,N/A,0,0,43
00133,0,10,0,0,0,0,10,N/A,0,0,40
00134,0,0,0,0,0,0,0,N/A,0,0,12
00135,0,55,0,0,0,0,55,N/A,0,0,63
00136,0,48,0,0,0,0,48,N/A,0,0,66
00137,0,158,0,0,0,0,158,N/A,0,0,61
00138,0,384,0,0,0,0,384,N/A,0,0,93
00139,0,145,0,0,0,0,145,N/A,0,0,61
00140,0,511,0,0,0,0,511,N/A,0,0,107
00141,0,116,0,0,0,0,116,N/A,0,0,67
00142,0,604,0,0,0,0,604,N/A,0,0,113
00143,0,187,0,0,0,0,187,N/A,0,0,77
00144,0,2168,0,0,0,0,2168,N/A,0,0,266
00145,0,60,0,0,0,0,60,N/A,0,0,59
00146,0,1211,0,0,0,0,1211,N/A,0,0,193
00147,0,4,0,0,0,0,4,N/A,0,0,36
00148,0,629,0,0,0,0,629,N/A,0,0,118
00149,0,213,0,0,0,0,213,N/A,0,0,75
00150,0,84,0,0,0,0,84,N/A,0,0,66
00151,48,285,104295,8434,103439,39,324,N/A,20748,18941,41125
00152,0,22,0,0,0,0,22,N/A,0,0,45
00153,24,194,20,0,20,0,194,N/A,49,3,153
00154,0,6,0,0,0,0,6,N/A,0,0,38
00155,0,86,0,0,0,0,86,N/A,0,0,67
00156,0,0,0,0,0,0,0,N/A,0,0,13
00157,0,438,0,0,0,0,438,N/A,0,0,93
00159,0,316,0,0,0,0,316,N/A,0,0,88
00161,0,0,0,0,0,0,0,N/A,0,0,13
00162,0,9,0,0,0,0,9,N/A,0,0,38
00163,0,31,0,0,0,0,31,N/A,0,0,55
00164,3,32,1,1,1,1,33,N/A,24,3,130
00165,0,125,0,0,0,0,125,N/A,0,0,73
00166,0,10,0,0,0,0,10,N/A,0,0,39
00167,12,459,106,10,111,1,460,N/A,129,10,292
00168,0,47,0,0,0,0,47,N/A,0,0,62
00169,22,183,41,5,42,0,183,N/A,55,5,181
00170,9,122,9,4,5,0,122,N/A,18,2,107
00171,12,65,26,2,28,2,67,N/A,63,4,156
00172,108,252,41553,3291,40597,264,516,N/A,4418,1997,6842
00173,120,98,392,127,292,29,127,N/A,269,32,452
00174,1776,4425,73198,0,73827,0,4425,N/A,586003,10263,TIMEOUT
00175,0,216,0,0,0,0,216,N/A,0,0,76
00176,30,81,106,42,113,28,109,N/A,105,18,219
00177,0,357,0,0,0,0,357,N/A,0,0,92
00178,0,46,0,0,0,0,46,N/A,0,0,57
00179,0,25,0,0,0,0,25,N/A,0,0,45
00180,0,0,0,0,0,0,0,N/A,0,0,13
00181,0,0,0,0,0,0,0,N/A,0,0,13
00182,0,0,0,0,0,0,0,N/A,0,0,13
00183,0,0,0,0,0,0,0,N/A,0,0,13
00184,0,0,0,0,0,0,0,N/A,0,0,13
00185,0,0,0,0,0,0,0,N/A,0,0,13
00186,0,0,0,0,0,0,0,N/A,0,0,12
00187,0,0,0,0,0,0,0,N/A,0,0,13
00188,0,0,0,0,0,0,0,N/A,0,0,13
00189,0,7,0,0,0,0,7,N/A,0,0,40
