NAME,NFTGD_NB,FTGD_NB,SUBSUMED,NEW_FTGD_NB,NEW_NFTGD_NB,NEW_OUTPUT_SIZE,OUTPUT_SIZE,NEW_RTGD_BSK,BODY_SK_ATOMS_MAX,EVOL_COUNT,EVOL_TIME,SUMB_TIME,TIME
00001,254,2574,236116,72315,187157,104,2678,N/A,N/A,800709,206749,378256,TIMEOUT
00002,432,1123,16434,2062,15006,500,1623,N/A,N/A,47924,5899,1269,8299
00003,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1269,ERROR
00004,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1269,ERROR
00005,16705,2487,163153,84222,89972,587,3074,N/A,N/A,3257393,258418,321605,TIMEOUT
00006,1075,165,0,0,0,0,165,N/A,N/A,2,10,0,263
00007,22,181,36,5,37,0,181,N/A,N/A,138,57,5,179
00008,22,181,39,5,40,0,181,N/A,N/A,146,61,6,184
00009,22,176,34,5,34,0,176,N/A,N/A,140,57,5,177
00010,22,172,27,5,24,0,172,N/A,N/A,103,60,5,190
00011,22,180,37,5,37,0,180,N/A,N/A,143,67,5,189
00012,13,286,28,6,27,0,286,N/A,N/A,78,38,4,180
00013,76,1290,146556,40128,107713,7,1297,N/A,N/A,329351,552282,11017,TIMEOUT
00014,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11017,ERROR
00015,13,348,37834,9156,29193,28,376,N/A,N/A,91201,13018,995,15270
00016,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,995,ERROR
00017,65,1196,182970,78858,107520,12,1208,N/A,N/A,715836,524515,30954,TIMEOUT
00018,85,1147,261838,112445,154186,15,1162,N/A,N/A,735034,517499,48989,TIMEOUT
00019,68,1098,115436,32722,84931,6,1104,N/A,N/A,246671,535037,12322,TIMEOUT
00020,83,1347,124624,49710,77861,6,1353,N/A,N/A,754502,552329,17473,TIMEOUT
00021,110,1234,209292,88146,124426,9,1243,N/A,N/A,612804,528916,31349,TIMEOUT
00022,13,426,11400,3300,8324,40,466,N/A,N/A,25893,3883,247,4635
00023,13,432,12559,3392,9368,26,458,N/A,N/A,31740,4801,258,5674
00024,139,1585,379761,154347,232007,6,1591,N/A,N/A,1052030,467899,104492,TIMEOUT
00025,68,1013,2457,567,2009,79,1092,N/A,N/A,8959,1885,154,2532
00026,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,154,ERROR
00027,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,154,ERROR
00028,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,154,ERROR
00029,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,154,ERROR
00030,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,154,ERROR
00031,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,154,ERROR
00032,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,154,ERROR
00033,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,154,ERROR
00034,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,154,ERROR
00035,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,154,ERROR
00036,12329,12603,15030,4629,12299,3,12606,N/A,N/A,870267,559259,17580,TIMEOUT
00037,12323,13827,24108,2687,21631,9,13836,N/A,N/A,348718,694967,19437,TIMEOUT
00038,12339,15014,10274,2965,8688,2,15016,N/A,N/A,820884,567625,11868,TIMEOUT
00039,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11868,ERROR
00040,43622,128054,11994,5076,10271,3161,131215,N/A,N/A,6641485,387786,120814,TIMEOUT
00041,14319,78929,18628,8865,15225,5032,83961,N/A,N/A,7045231,406218,110541,TIMEOUT
00042,15417,75681,26115,9127,22760,5302,80983,N/A,N/A,7479141,408408,118333,TIMEOUT
00043,18612,128554,17069,5644,14978,2742,131296,N/A,N/A,7161700,408425,118811,TIMEOUT
00044,14319,72098,17096,1829,18153,1445,73543,N/A,N/A,4882343,475336,59126,TIMEOUT
00045,42430,127608,17644,8189,16949,7405,135013,N/A,N/A,5862440,326590,196850,TIMEOUT
00046,15352,83345,22834,27,25453,26,83371,N/A,N/A,3631802,543220,27453,TIMEOUT
00047,14431,80979,10515,3109,9888,2481,83460,N/A,N/A,7509846,449598,52519,TIMEOUT
00049,15,56,377,221,216,16,72,N/A,N/A,788,178,16,329
00050,15,57,234,135,138,22,79,N/A,N/A,516,161,16,289
00051,0,0,0,0,0,0,0,N/A,N/A,0,0,0,13
00052,3764,25233,17689,0,17687,0,25233,N/A,N/A,117982,13283,11897,30085
00053,0,1129,0,0,0,0,1129,N/A,N/A,0,0,0,227
00054,0,3,0,0,0,0,3,N/A,N/A,0,0,0,37
00055,23,220,67,18,70,7,227,N/A,N/A,234,81,9,226
00056,0,12,0,0,0,0,12,N/A,N/A,0,0,0,46
00057,3,11,6,0,6,0,11,N/A,N/A,25,33,2,109
00058,3,7,0,0,0,0,7,N/A,N/A,6,17,0,95
00059,5,47,0,0,0,0,47,N/A,N/A,10,16,0,99
00060,9,76,9,0,10,0,76,N/A,N/A,33,36,3,142
00061,0,6,0,0,0,0,6,N/A,N/A,0,0,0,39
00062,11,76,4,0,4,0,76,N/A,N/A,22,20,1,110
00063,12,67,10,0,13,0,67,N/A,N/A,42,36,3,130
00064,0,3,0,0,0,0,3,N/A,N/A,0,0,0,41
00065,3,14,2,0,4,0,14,N/A,N/A,16,24,2,107
00066,1,21,1,0,1,0,21,N/A,N/A,2,10,1,97
00067,0,24,0,0,0,0,24,N/A,N/A,0,0,0,46
00068,2,33,0,0,0,0,33,N/A,N/A,2,3,0,82
