NAME,AXIOM_NB,SUBSUMED,NEW_FTGD_NB,NEW_NFTGD_NB,OUTPUT_SIZE,TIME
00001,2615,822,2658,2959,2612,752
00002,1367,768,4010,2726,1281,787
00003,18866,265432,456960,539788,0,TIMEOUT
00004,18810,223868,449917,479989,0,TIMEOUT
00005,18810,255171,498560,515651,0,TIMEOUT
00006,1230,2,948,1057,1213,490
00007,190,7,104,137,172,271
00008,190,8,106,146,172,275
00009,190,9,102,143,173,277
00010,190,8,106,147,172,278
00011,190,5,101,139,174,281
00012,291,6,172,156,279,290
00013,1188,1724,1806,2727,1371,435
00014,1468,3838,3604,5315,1791,535
00015,326,159,341,340,353,304
00016,991,1164,1527,1986,1146,413
00017,1098,1238,1581,2072,1273,421
00018,1075,1941,2312,2511,1258,451
00019,1013,1396,1620,2257,1171,441
00020,1226,1962,2081,3042,1441,459
00021,1143,2338,2178,3499,1376,447
00022,396,155,403,361,436,308
00023,401,140,402,342,440,312
00024,1468,3542,3562,4892,1790,582
00025,937,573,812,1288,1010,387
00026,42924,12586,129451,208193,0,TIMEOUT
00027,43399,236157,86504,559240,0,TIMEOUT
00028,43399,230699,78555,564804,0,TIMEOUT
00029,4702,21108,23577,43056,5825,6984
00030,4736,14181,32321,18698,5559,6904
00031,4736,14080,36220,18210,5560,7684
00032,4943,34943,33561,61486,5974,10678
00033,17540,91312,230183,254182,0,TIMEOUT
00034,17491,278966,652589,112705,0,TIMEOUT
00035,17540,39884,169303,200275,0,TIMEOUT
00036,17530,33261,148506,184866,0,TIMEOUT
00037,17518,39440,156781,216215,0,TIMEOUT
00038,17533,39928,187328,224469,0,TIMEOUT
00039,6076,22765,44239,28280,7278,11060
00040,140874,13463,85788,90557,0,TIMEOUT
00041,82156,50062,107409,143883,0,TIMEOUT
00042,86438,48367,94595,145163,0,TIMEOUT
00043,130622,22404,103619,91187,0,TIMEOUT
00044,82119,51101,109025,142468,0,TIMEOUT
00045,137671,13308,83905,91589,0,TIMEOUT
00046,84985,42931,102130,137310,0,TIMEOUT
00047,82338,44150,108486,135710,0,TIMEOUT
00049,62,56,69,113,67,248
00050,62,64,88,104,66,241
00051,0,0,0,0,0,194
00052,28997,2988,29376,20629,27911,22027
00053,1129,0,0,0,1129,338
00054,3,0,0,0,3,211
00055,227,34,196,143,230,283
00056,12,0,0,0,12,200
00057,14,0,5,12,11,214
00058,10,0,3,10,7,220
00059,52,0,23,36,47,226
00060,81,0,36,58,72,233
00061,6,0,0,0,6,206
00062,83,0,36,61,72,238
00063,73,0,30,60,61,234
00064,3,0,0,0,3,196
00065,13,2,8,14,12,218
00066,21,0,10,13,20,221
00067,24,0,0,0,24,203
00068,33,0,22,16,35,223
00069,9,0,4,7,8,217
00070,41,0,0,0,42,217
00071,15,0,7,10,14,209
00072,28,0,21,13,31,218
00073,82,2,45,51,78,235
00074,20,0,0,0,21,213
00075,127,0,100,54,126,257
00076,186,0,0,0,186,237
00077,4,0,0,0,4,208
00078,758,57,629,465,803,357
00079,31,0,20,14,31,221
00080,22,0,0,0,26,218
00081,773,9,356,539,680,347
00082,463,20,283,656,342,348
00083,15,0,0,0,15,204
00084,4,0,0,0,4,197
00085,2,0,0,0,2,199
00086,0,0,0,0,0,189
00087,76,0,0,0,77,225
00088,105,0,0,0,109,236
00089,87,0,0,0,87,226
00090,66,0,0,0,66,241
00091,12,0,0,0,13,199
00092,32,0,0,0,32,213
00093,216,0,0,0,229,270
00094,155,2,90,88,150,256
00095,63,0,0,0,63,221
00096,0,0,0,0,0,193
00097,0,0,0,0,0,197
00098,0,0,0,0,0,202
00099,0,0,0,0,0,186
00100,0,0,0,0,0,199
00101,0,0,0,0,0,202
00102,0,0,0,0,0,189
00103,259,0,0,0,269,252
00104,1122,0,0,0,1118,325
00105,11,0,0,0,11,205
00106,46,2,26,31,43,226
00107,22,0,0,0,22,220
00108,16,0,0,0,16,210
00109,83,0,0,0,83,225
00110,421,3,233,552,308,366
00111,43,0,0,0,0,227
00112,123,35,97,100,130,274
00113,36,2,23,21,32,266
00114,26,24,48,54,57,240
00115,216,0,0,0,229,277
00116,37,9,40,45,46,236
00117,6076,207417,163771,95967,7230,13664
00118,83,85,133,142,113,270
00119,2,0,0,0,3,204
00120,56,24,56,65,63,242
00121,0,0,0,0,0,184
00122,2,0,0,0,2,202
00123,0,0,0,0,0,191
00124,0,0,0,0,0,196
00125,0,0,0,0,0,196
00126,0,0,0,0,0,191
00127,0,0,0,0,0,193
00128,1,0,0,0,1,199
00129,13,0,0,0,13,206
00130,3,0,0,0,3,200
00131,0,0,0,0,0,193
00132,16,0,0,0,18,210
