NAME,BODY_AVG,BODY_MAX,HEAD_AVG,HEAD_MAX,COUNT
00001,1.0144927536231885,2,0.9996186117467581,1,2622
00002,1.002313030069391,2,1.0,1,1297
00003,1.0153611447209216,2,1.0,1,19009
00004,1.0154049063571617,2,1.0,1,18955
00005,1.0154049063571617,2,1.0,1,18955
00006,1.0,1,1.0,1,1215
00007,1.028735632183908,2,1.0,1,174
00008,1.028735632183908,2,1.0,1,174
00009,1.028735632183908,2,1.0,1,174
00010,1.028735632183908,2,1.0,1,174
00011,1.028735632183908,2,1.0,1,174
00012,1.1111111111111112,2,1.0,1,279
00013,1.0628122769450392,4,0.9985724482512491,1,1401
00014,1.0779291553133514,4,0.9923705722070845,1,1835
00015,1.0779944289693593,3,1.0,1,359
00016,1.0684931506849316,4,0.9982876712328768,1,1168
00017,1.062015503875969,4,0.9984496124031008,1,1290
00018,1.0690993788819876,4,0.9984472049689441,1,1288
00019,1.0686192468619247,4,0.998326359832636,1,1195
00020,1.0716216216216217,4,0.9925675675675676,1,1480
00021,1.0753375977256574,4,0.9985785358919688,1,1407
00022,1.0637813211845102,3,1.0,1,439
00023,1.0632054176072234,3,1.0,1,443
00024,1.0779291553133514,4,0.9923705722070845,1,1835
00025,1.0,1,1.0,1,1011
00026,1.222573742931377,3,1.0,1,65430
00027,1.169558584385321,3,1.0,1,59649
00028,1.1694648302670823,3,1.0,1,59682
00029,1.1647141108585417,3,1.0,1,5719
00030,1.190510424155284,3,1.0,1,5564
00031,1.190510424155284,3,1.0,1,5564
00032,1.1594252480328429,3,1.0,1,5846
00033,1.2270016619415387,5,1.0,1,20458
00034,1.3523590522728206,3,1.0,1,24353
00035,1.2249743012384355,6,1.0,1,20429
00036,1.222892156862745,3,1.0,1,20400
00037,1.2230991715280162,3,1.0,1,20399
00038,1.2230980123372173,4,1.0,1,20426
00039,1.1524899057873486,3,1.0,1,7430
00040,1.1695452839491636,3,1.0,1,135887
00041,1.1786863405560304,3,1.0,1,79564
00042,1.1849033122726402,3,1.0,1,83568
