NAME,NFTGD_NB,FTGD_NB,SUBSUMED,NEW_FTGD_NB,NEW_NFTGD_NB,NEW_OUTPUT_SIZE,OUTPUT_SIZE,NEW_RTGD_BSK,BODY_SK_ATOMS_MAX,EVOL_COUNT,EVOL_TIME,SUMB_TIME,TIME
00001,344,2572,1029,278,2992,50,2622,102,1,3889,184,152,1064
00002,566,1198,714,663,2054,99,1297,456,1,3722,79,48,393
00003,4698,17927,102306,293549,280107,1082,19009,264060,1,1965912,10753,14620,36774
00004,4692,17873,101549,293549,269102,1082,18955,264060,1,1955661,10023,13947,35006
00005,4692,17873,101549,293549,269102,1082,18955,264060,1,1955661,9906,13746,35271
00006,600,1215,0,0,0,0,1215,0,0,298,9,0,241
00007,31,172,4,19,20,2,174,0,0,60,5,3,90
00008,31,172,4,19,20,2,174,0,0,60,4,3,86
00009,31,172,4,19,20,2,174,0,0,60,4,3,81
00010,31,172,4,19,20,2,174,0,0,60,4,3,86
00011,31,172,4,19,20,2,174,0,0,60,5,3,93
00012,21,279,3,13,9,0,279,0,0,36,3,2,88
00013,131,1300,1586,857,2454,101,1401,463,2,3382,83,49,344
00014,236,1598,3556,1953,5332,233,1831,1134,2,7457,145,106,527
00015,26,348,170,111,242,11,359,55,1,377,21,15,133
00016,115,1085,1383,759,2118,83,1168,414,2,2931,67,42,304
00017,115,1207,1383,759,2118,83,1290,414,2,2931,67,44,321
00018,141,1170,1781,1006,2689,118,1288,567,2,3759,74,85,352
00019,119,1109,1452,787,2234,86,1195,428,2,3080,62,46,301
00020,149,1348,2097,1146,3195,131,1479,639,2,4424,94,84,412
00021,186,1242,2521,1396,3760,162,1404,791,2,5262,112,66,413
00022,26,428,170,111,242,11,439,55,1,377,19,11,138
00023,26,432,170,111,242,11,443,55,1,377,21,11,138
00024,236,1598,3552,1949,5332,233,1831,1130,2,7453,153,122,589
00025,117,987,550,255,831,24,1011,0,0,1179,33,16,213
00026,31110,48600,15361,2032234,207219,0,48600,2032234,1,2310191,23496,523646,TIMEOUT
00027,31110,49550,125344,2016586,507753,0,49550,2016586,1,2560412,26934,515325,TIMEOUT
00028,31110,49550,125993,2026862,510130,0,49550,2026862,1,2573364,26958,515391,TIMEOUT
00029,2444,5484,16068,15947,40350,338,5822,15609,2,60651,670,999,2998
00030,3014,5192,993,12486,19089,365,5557,12121,1,39367,623,763,2529
00031,3014,5192,993,12486,19089,365,5557,12121,1,39367,558,777,2487
00032,3014,5605,19739,17567,50319,365,5970,17202,2,74399,947,1088,3519
00033,14876,17298,654261,3410434,1500307,6081,23379,3401991,2,5245527,55372,462116,TIMEOUT
00034,14876,17200,31125,3432555,129068,7128,24328,3425427,1,3616672,31879,458604,547321
00035,14876,17298,600363,3459638,1415634,5702,23000,3453282,2,5177681,55287,460473,TIMEOUT
00036,14856,17285,527891,3157965,1279959,5327,22612,3150601,2,4714417,48496,475934,TIMEOUT
00037,14844,17272,441749,3066247,1107657,5246,22518,3060827,2,4410733,47238,480875,TIMEOUT
00038,14854,17302,390908,3475921,1014483,4894,22196,3471018,2,4717184,48309,474256,TIMEOUT
00039,2972,6951,3661,12807,23195,410,7361,12397,1,45756,713,859,2840
00040,42720,135739,5163,3127751,26901,78,135817,3127673,1,3158253,29489,489786,TIMEOUT
00041,20638,79564,6962,4146368,27781,0,79564,4146368,1,4178917,44908,444990,TIMEOUT
00042,22400,83546,7328,3936944,25216,10,83556,3936934,1,3965849,42511,445739,TIMEOUT
00043,27790,129555,7496,3630061,24002,0,129555,3630061,1,3657218,42316,453362,TIMEOUT
00044,20638,79527,7122,4192737,25558,0,79527,4192737,1,4221572,42473,446495,TIMEOUT
00045,41456,132872,5749,3269710,27489,61,132933,3269649,1,3301315,31700,484870,TIMEOUT
00046,21664,82079,6577,3978803,24301,2,82081,3978801,1,4006414,41659,452524,TIMEOUT
00047,20858,79679,7012,4150870,25150,0,79679,4150870,1,4179415,44816,443737,TIMEOUT
00049,16,61,36,25,55,7,68,7,1,103,11,6,77
00050,16,61,36,25,55,7,68,7,1,103,10,6,82
00051,0,0,0,0,0,0,0,0,0,0,0,0,9
00052,3638,27911,2899,0,13807,0,27911,0,0,17775,238,252,1987
00053,0,1129,0,0,0,0,1129,0,0,0,0,0,105
00054,0,3,0,0,0,0,3,0,0,0,0,0,23
00055,25,232,18,7,40,2,234,5,1,64,5,4,97
00056,0,12,0,0,0,0,12,0,0,0,0,0,26
00057,3,11,3,3,9,0,11,0,0,12,2,2,42
00058,3,7,0,3,0,0,7,0,0,6,1,0,53
00059,7,47,0,5,0,0,47,0,0,10,1,0,51
00060,12,72,0,9,1,0,72,0,0,19,3,1,66
00061,0,6,0,0,0,0,6,0,0,0,0,0,24
00062,14,72,0,11,0,0,72,0,0,22,3,0,62
00063,17,61,0,12,0,0,61,0,0,24,3,0,56
00064,0,3,0,0,0,0,3,0,0,0,0,0,30
00065,3,12,2,3,4,0,12,0,0,10,2,1,46
00066,2,20,0,1,0,0,20,0,0,2,1,0,44
00067,0,24,0,0,0,0,24,0,0,0,0,0,28
00068,2,35,0,0,0,0,35,0,0,1,0,0,44
00069,2,8,0,1,0,0,8,0,0,2,1,0,44
00070,0,42,0,0,0,0,42,0,0,0,0,0,32
00071,2,14,0,1,0,0,14,0,0,2,1,0,42
00072,2,31,0,1,0,0,31,0,0,2,1,0,54
00073,10,77,2,6,0,1,78,0,0,12,3,2,86
00074,0,21,0,0,0,0,21,0,0,0,0,0,28
00075,3,125,0,2,0,1,126,0,0,4,1,1,71
00076,0,186,0,0,0,0,186,0,0,0,0,0,47
00077,0,4,0,0,0,0,4,0,0,0,0,0,24
00078,18,796,17,18,103,12,808,0,0,142,8,5,141
00079,1,31,0,0,0,0,31,0,0,1,0,0,44
00080,0,26,0,0,0,0,26,0,0,0,0,0,28
00081,127,680,0,93,1,0,680,0,0,187,18,1,145
00082,270,341,38,11,410,2,343,0,0,782,30,13,185
00083,0,15,0,0,0,0,15,0,0,0,0,0,28
00084,0,4,0,0,0,0,4,0,0,0,0,0,23
00085,0,2,0,0,0,0,2,0,0,0,0,0,23
00086,0,0,0,0,0,0,0,0,0,0,0,0,9
00087,0,77,0,0,0,0,77,0,0,0,0,0,37
00088,0,109,0,0,0,0,109,0,0,0,0,0,38
00089,0,87,0,0,0,0,87,0,0,0,0,0,37
00090,0,66,0,0,0,0,66,0,0,0,0,0,34
00091,0,13,0,0,0,0,13,0,0,0,0,0,26
00092,0,32,0,0,0,0,32,0,0,0,0,0,30
00093,0,229,0,0,0,0,229,0,0,0,0,0,61
00094,8,148,2,8,12,2,150,0,0,31,2,2,75
00095,0,63,0,0,0,0,63,0,0,0,0,0,34
00096,0,0,0,0,0,0,0,0,0,0,0,0,9
