NAME,NFTGD_NB,FTGD_NB,SUBSUMED,NEW_FTGD_NB,NEW_NFTGD_NB,NEW_OUTPUT_SIZE,OUTPUT_SIZE,TIME
00001,254,2468,141521,41657,120734,55,2523,35402
00002,432,941,2281,325,2087,161,1102,1480
00003,16709,2159,18886,370,91238,0,2159,TIMEOUT
00004,16705,2107,159608,170,185594,0,2107,TIMEOUT
00005,16705,2107,153758,170,178817,0,2107,TIMEOUT
00006,1075,165,0,0,0,0,165,220
00007,22,168,22,5,18,0,168,170
00008,22,168,22,5,18,0,168,211
00009,22,168,22,5,18,0,168,149
00010,22,168,22,5,18,0,168,195
00011,22,168,22,5,18,0,168,171
00012,13,277,20,6,17,0,277,177
00013,76,1265,815716,303237,528822,105,1370,144284
00014,139,1533,3402370,1326022,2109768,203,1734,TIMEOUT
00015,13,345,3451,1409,2223,11,356,1258
00016,65,1055,973783,354569,632077,87,1142,164678
00017,65,1177,590405,228687,374302,87,1264,98985
00018,85,1129,874293,335928,550996,126,1253,158950
00019,68,1078,737193,278465,473478,90,1168,124377
00020,83,1310,1159662,431734,747990,120,1430,234379
00021,110,1190,1309031,551065,772728,153,1341,230274
00022,13,425,3024,1249,1956,11,436,1169
00023,13,429,3259,1313,2127,11,440,1466
00024,139,1533,3090789,1147518,1974694,204,1735,TIMEOUT
00025,68,987,490,128,385,24,1011,587
00026,23858,30697,57355,11001,47625,6,30703,TIMEOUT
00027,23858,31647,28617,6384,23893,6,31653,TIMEOUT
00028,23858,31647,48611,7020,42617,6,31653,TIMEOUT
00029,1776,4039,40817,0,47800,0,4039,TIMEOUT
00030,2096,3626,166876,0,172046,0,3626,TIMEOUT
00031,2096,3626,140533,0,147239,0,3626,TIMEOUT
00032,2096,4039,54130,0,56469,0,4039,TIMEOUT
00033,12339,9462,108718,8660,109145,1,9463,TIMEOUT
00034,12339,9364,372061,96954,322645,46777,56141,TIMEOUT
00035,12339,9462,45778,3718,46099,1,9463,TIMEOUT
00036,12329,9456,95321,7081,95678,1,9457,TIMEOUT
00037,12323,9445,82941,7070,83277,1,9446,TIMEOUT
00038,12339,9457,75834,8205,76142,1,9458,TIMEOUT
00039,2437,4826,101632,0,109016,0,4826,TIMEOUT
00040,43622,100787,50911,2666,51165,0,100787,TIMEOUT
00041,14319,67437,136523,433,144694,427,67864,TIMEOUT
00042,15417,71082,150291,822,156967,813,71895,TIMEOUT
00043,18612,115810,168462,512,177289,490,116300,TIMEOUT
00044,14319,67400,186110,433,195404,427,67827,TIMEOUT
00045,42430,98673,42084,6262,42137,290,98963,TIMEOUT
00046,15352,69253,172833,433,181743,427,69680,TIMEOUT
00047,14431,67545,148277,435,155017,427,67972,TIMEOUT
00049,15,51,90,33,65,8,59,253
00050,15,51,90,33,65,8,59,261
00051,0,0,0,0,0,0,0,46
00052,3764,25233,16931,0,16930,0,25233,6774
00053,0,1129,0,0,0,0,1129,157
00054,0,3,0,0,0,0,3,65
00055,23,212,53,9,58,2,214,210
00056,0,12,0,0,0,0,12,69
00057,3,11,6,0,6,0,11,140
00058,3,7,0,0,0,0,7,94
00059,5,47,0,0,0,0,47,108
00060,9,72,1,0,1,0,72,159
00061,0,6,0,0,0,0,6,67
00062,11,72,0,0,0,0,72,128
00063,12,61,0,0,0,0,61,138
00064,0,3,0,0,0,0,3,64
00065,3,12,2,0,2,0,12,110
00066,1,20,0,0,0,0,20,107
00067,0,24,0,0,0,0,24,72
00068,2,33,0,0,0,0,33,93
00069,1,8,0,0,0,0,8,92
00070,0,42,0,0,0,0,42,74
00071,1,14,0,0,0,0,14,97
00072,1,31,0,0,0,0,31,112
00073,6,77,2,3,0,1,78,127
00074,0,21,0,0,0,0,21,67
00075,2,125,0,1,0,1,126,131
00076,0,186,0,0,0,0,186,96
00077,0,4,0,0,0,0,4,62
00078,10,715,47,6,46,5,720,239
00079,2,29,0,0,0,0,29,114
00080,0,26,0,0,0,0,26,70
00081,93,679,1,0,1,0,679,194
00082,200,263,457,2,457,2,265,445
00083,0,15,0,0,0,0,15,68
00084,0,4,0,0,0,0,4,64
00085,0,2,0,0,0,0,2,64
00086,0,0,0,0,0,0,0,50
00087,0,77,0,0,0,0,77,89
00088,0,105,0,0,0,0,105,89
00089,0,87,0,0,0,0,87,81
00090,0,66,0,0,0,0,66,94
00091,0,13,0,0,0,0,13,68
00092,0,32,0,0,0,0,32,70
00093,0,216,0,0,0,0,216,121
00094,17,138,14,13,12,11,149,179
00095,0,63,0,0,0,0,63,88
00096,0,0,0,0,0,0,0,44
00097,0,0,0,0,0,0,0,44
00098,0,0,0,0,0,0,0,43
00099,0,0,0,0,0,0,0,45
00100,0,0,0,0,0,0,0,45
00101,0,0,0,0,0,0,0,46
00102,0,0,0,0,0,0,0,47
00103,0,259,0,0,0,0,259,130
00104,0,1118,0,0,0,0,1118,170
00105,0,11,0,0,0,0,11,85
00106,4,43,2,0,2,0,43,103
00107,0,22,0,0,0,0,22,71
00108,0,16,0,0,0,0,16,70
00109,0,83,0,0,0,0,83,88
00110,177,244,391,1,391,1,245,431
00111,0,43,0,0,0,0,43,78
00112,15,113,22,6,16,0,113,198
00113,12,24,0,0,0,0,24,96
00114,12,31,141,72,114,27,58,304
00115,0,216,0,0,0,0,216,118
00116,7,30,7,6,6,5,35,141
00117,2437,4826,183223,0,194609,0,4826,TIMEOUT
00118,19,89,128,37,118,17,106,213
00119,0,3,0,0,0,0,3,61
00120,10,53,25,14,14,3,56,136
00121,0,0,0,0,0,0,0,42
00122,0,2,0,0,0,0,2,60
00123,0,0,0,0,0,0,0,42
00124,0,0,0,0,0,0,0,43
00125,0,0,0,0,0,0,0,57
00126,0,0,0,0,0,0,0,43
00127,0,0,0,0,0,0,0,55
00128,0,1,0,0,0,0,1,90
00129,0,13,0,0,0,0,13,67
00130,0,3,0,0,0,0,3,70
00131,0,0,0,0,0,0,0,47
00132,0,18,0,0,0,0,18,67
00133,0,10,0,0,0,0,10,74
00134,0,0,0,0,0,0,0,44
00135,0,55,0,0,0,0,55,103
00136,0,48,0,0,0,0,48,74
00137,0,158,0,0,0,0,158,98
00138,0,384,0,0,0,0,384,128
00139,0,145,0,0,0,0,145,97
00140,0,511,0,0,0,0,511,139
00141,0,116,0,0,0,0,116,113
00142,0,604,0,0,0,0,604,125
00143,0,187,0,0,0,0,187,118
00144,0,2168,0,0,0,0,2168,195
00145,0,60,0,0,0,0,60,78
00146,0,1211,0,0,0,0,1211,189
00147,0,4,0,0,0,0,4,65
00148,0,629,0,0,0,0,629,144
00149,0,213,0,0,0,0,213,106
00150,0,84,0,0,0,0,84,111
00151,48,263,109608,8331,104403,29,292,9338
00152,0,22,0,0,0,0,22,68
00153,24,186,0,0,0,0,186,173
00154,0,6,0,0,0,0,6,80
00155,0,86,0,0,0,0,86,84
00156,0,0,0,0,0,0,0,45
00157,0,438,0,0,0,0,438,136
00159,0,316,0,0,0,0,316,130
00161,0,0,0,0,0,0,0,44
00162,0,9,0,0,0,0,9,87
00163,0,31,0,0,0,0,31,80
00164,3,31,0,1,0,1,32,139
00165,0,125,0,0,0,0,125,82
00166,0,10,0,0,0,0,10,78
00167,12,451,71,9,66,1,452,200
00168,0,47,0,0,0,0,47,109
00169,22,168,22,5,18,0,168,177
00170,9,120,7,4,3,0,120,145
00171,12,61,10,0,10,0,61,172
00172,108,190,22106,1687,21495,26,216,2324
00173,120,98,386,127,286,29,127,379
00174,1776,3626,128231,0,135704,0,3626,TIMEOUT
00175,0,216,0,0,0,0,216,93
00176,30,70,66,30,66,24,94,160
00177,0,357,0,0,0,0,357,101
00178,0,46,0,0,0,0,46,71
00179,0,25,0,0,0,0,25,65
00180,0,0,0,0,0,0,0,42
00181,0,0,0,0,0,0,0,42
00182,0,0,0,0,0,0,0,58
00183,0,0,0,0,0,0,0,44
00184,0,0,0,0,0,0,0,51
00185,0,0,0,0,0,0,0,43
00186,0,0,0,0,0,0,0,68
00187,0,0,0,0,0,0,0,43
00188,0,0,0,0,0,0,0,46
00189,0,7,0,0,0,0,7,90
00190,0,12,0,0,0,0,12,66
00191,0,0,0,0,0,0,0,45
00192,0,0,0,0,0,0,0,50
