NAME,NFTGD_NB,FTGD_NB,SUBSUMED,NEW_FTGD_NB,NEW_NFTGD_NB,NEW_OUTPUT_SIZE,OUTPUT_SIZE,EVOL_TIME,TIME
00001,462,2468,1697,368,4306,72,2540,301,1220
00002,834,941,1858,982,3832,170,1111,188,904
00003,33588,2159,35954,298142,302374,0,2159,4997,TIMEOUT
00004,33580,2107,36364,304228,280968,0,2107,5571,TIMEOUT
00005,33580,2107,36178,303138,277905,0,2107,5377,TIMEOUT
00006,2150,165,0,0,0,0,165,1,353
00007,23,168,16,21,24,12,180,5,261
00008,23,168,16,21,24,12,180,7,208
00009,23,168,16,21,24,12,180,5,205
00010,23,168,16,21,24,12,180,5,274
00011,23,168,16,21,24,12,180,14,243
00012,13,277,5,13,11,8,285,3,221
00013,157,1265,N/A,N/A,N/A,N/A,N/A,N/A,ERROR
00014,278,1533,N/A,N/A,N/A,N/A,N/A,N/A,ERROR
00015,26,345,223,127,271,19,364,25,311
00016,135,1055,N/A,N/A,N/A,N/A,N/A,N/A,ERROR
00017,135,1177,N/A,N/A,N/A,N/A,N/A,N/A,ERROR
00018,171,1129,N/A,N/A,N/A,N/A,N/A,N/A,ERROR
00019,141,1078,N/A,N/A,N/A,N/A,N/A,N/A,ERROR
00020,173,1310,N/A,N/A,N/A,N/A,N/A,N/A,ERROR
00021,218,1190,N/A,N/A,N/A,N/A,N/A,N/A,ERROR
00022,26,425,223,127,271,19,444,36,250
00023,26,429,223,127,271,19,448,26,235
00024,278,1533,N/A,N/A,N/A,N/A,N/A,N/A,ERROR
00025,116,987,737,255,940,73,1060,54,345
00026,59236,30697,1787,342653,22849,0,30697,4395,TIMEOUT
00027,59236,31647,16227,385984,40655,0,31647,5145,TIMEOUT
00028,59236,31647,15929,374272,39906,0,31647,4837,TIMEOUT
00029,4884,4039,39280,268089,84704,2036,6075,12137,TIMEOUT
00030,5586,3626,9424,300895,42170,1885,5511,15092,TIMEOUT
00031,5586,3626,7960,288818,39935,1864,5490,13975,TIMEOUT
00032,5586,4039,40288,235230,94015,1363,5402,9986,TIMEOUT
00033,26956,9462,9152,559097,51886,0,9462,7009,TIMEOUT
00034,26956,9364,3964,536605,52370,0,9364,7143,TIMEOUT
00035,26956,9462,8214,491555,47226,0,9462,6325,TIMEOUT
00036,26932,9456,9379,574723,53143,0,9456,7689,TIMEOUT
00037,26916,9445,9034,548480,51314,0,9445,7431,TIMEOUT
00038,26966,9457,8937,544124,50868,0,9457,7413,TIMEOUT
00039,6858,4826,19500,251009,52545,3810,8636,22127,576559
00040,87244,100787,602,203278,2240,31,100818,2562,TIMEOUT
00041,28638,67437,528,177138,1842,0,67437,2414,TIMEOUT
00042,30834,71082,2440,218294,10893,386,71468,2803,TIMEOUT
00043,37224,115810,474,174360,1485,0,115810,2284,TIMEOUT
00044,28638,67400,504,178380,1669,0,67400,2180,TIMEOUT
00045,84860,98673,539,204675,2056,31,98704,2504,TIMEOUT
00046,30704,69253,719,221004,2277,0,69253,3183,TIMEOUT
00047,28865,67547,529,182256,1757,0,67547,2459,TIMEOUT
00049,30,51,84,49,104,10,61,20,183
00050,30,51,84,49,104,10,61,23,187
00051,0,0,0,0,0,0,0,0,45
00052,7528,25233,4159,0,21094,0,25233,320,4653
00053,0,1129,0,0,0,0,1129,0,146
00054,0,3,0,0,0,0,3,0,94
00055,46,212,30,13,56,3,215,16,172
00056,0,12,0,0,0,0,12,0,95
00057,3,11,5,3,9,1,12,2,94
00058,3,7,2,3,0,1,8,1,102
00059,5,47,3,5,0,2,49,2,108
00060,9,72,6,9,1,3,75,2,137
00061,0,6,0,0,0,0,6,0,83
00062,11,72,7,11,0,4,76,3,150
00063,12,61,8,12,0,4,65,3,154
00064,0,3,0,0,0,0,3,0,63
00065,3,12,4,3,4,1,13,2,116
00066,1,20,0,1,0,1,21,1,93
00067,0,24,0,0,0,0,24,0,74
00068,2,33,0,0,0,0,33,1,99
00069,1,8,0,1,0,1,9,9,109
00070,0,42,0,0,0,0,42,0,77
00071,1,14,0,1,0,1,15,1,119
00072,1,31,0,1,0,1,32,1,120
00073,6,77,3,6,0,3,80,3,155
00074,0,21,0,0,0,0,21,0,93
00075,2,125,0,2,0,2,127,2,147
00076,0,186,0,0,0,0,186,0,131
00077,0,4,0,0,0,0,4,0,86
00078,43,715,33,376,203,363,1078,19,224
00079,2,29,0,0,0,0,29,3,127
00080,0,26,0,0,0,0,26,0,81
00081,93,679,46,93,1,47,726,7,245
00082,356,263,68,13,520,8,271,38,373
00083,0,15,0,0,0,0,15,0,71
00084,0,4,0,0,0,0,4,0,67
00085,0,2,0,0,0,0,2,0,83
00086,0,0,0,0,0,0,0,0,58
00087,0,77,0,0,0,0,77,0,80
00088,0,105,0,0,0,0,105,0,124
00089,0,87,0,0,0,0,87,0,104
00090,0,66,0,0,0,0,66,0,79
00091,0,13,0,0,0,0,13,0,85
00092,0,32,0,0,0,0,32,0,82
00093,0,216,0,0,0,0,216,0,148
00094,17,138,6,17,15,14,152,8,188
00095,0,63,0,0,0,0,63,0,104
00096,0,0,0,0,0,0,0,0,54
00097,0,0,0,0,0,0,0,0,43
00098,0,0,0,0,0,0,0,0,47
00099,0,0,0,0,0,0,0,0,51
00100,0,0,0,0,0,0,0,0,50
00101,0,0,0,0,0,0,0,0,54
00102,0,0,0,0,0,0,0,0,45
00103,0,259,0,0,0,0,259,0,136
00104,0,1123,0,0,0,0,1123,0,198
00105,0,11,0,0,0,0,11,0,80
00106,4,43,4,4,4,2,45,2,119
00107,0,22,0,0,0,0,22,0,81
00108,0,16,0,0,0,0,16,0,91
00109,0,83,0,0,0,0,83,0,132
00110,317,244,57,12,443,7,251,41,300
00111,0,43,0,0,0,0,43,0,80
00112,20,113,23,48,26,16,129,13,138
00113,12,24,0,0,0,0,24,2,101
00114,42,25,67,246,70,60,85,42,181
00115,0,216,0,0,0,0,216,0,146
00116,13,30,6,31,5,21,51,17,117
00117,6858,4826,19771,251005,52820,3810,8636,21178,593485
00118,39,89,81,122,83,29,118,24,196
00119,0,3,0,0,0,0,3,0,66
00120,17,53,23,28,21,5,58,19,151
00121,0,0,0,0,0,0,0,0,56
00122,0,2,0,0,0,0,2,0,71
00123,0,0,0,0,0,0,0,0,45
00124,0,0,0,0,0,0,0,0,44
00125,0,0,0,0,0,0,0,0,57
00126,0,0,0,0,0,0,0,0,48
00127,0,0,0,0,0,0,0,0,50
