NAME,NFTGD_NB,FTGD_NB,SUBSUMED,NEW_FTGD_NB,NEW_NFTGD_NB,NEW_OUTPUT_SIZE,OUTPUT_SIZE,EVOL_TIME,SUMB_TIME,TIME
00001,462,2468,1413,365,4046,55,2523,143,113,583
00002,834,941,1503,980,3484,161,1102,110,102,501
00003,33588,2159,1014308,1008309,2059848,0,2159,29652,109943,160245
00004,33580,2107,995126,1008309,1935918,0,2107,31071,124453,177154
00005,33580,2107,995126,1008309,1935918,0,2107,25499,105110,147932
00006,2150,165,0,0,0,0,165,1,0,425
00007,23,168,8,21,20,0,168,4,4,138
00008,23,168,8,21,20,0,168,5,5,173
00009,23,168,8,21,20,0,168,4,4,138
00010,23,168,8,21,20,0,168,4,6,149
00011,23,168,8,21,20,0,168,4,4,139
00012,13,277,3,13,11,0,277,3,3,138
00013,157,1267,2279,1079,3196,107,1374,115,87,467
00014,278,1537,4752,2315,6722,207,1742,252,218,790
00015,26,345,185,104,244,11,356,25,16,244
00016,135,1056,2375,931,3223,88,1144,159,115,630
00017,135,1178,2294,993,3125,88,1266,144,118,702
00018,171,1130,2864,1320,3910,127,1255,180,129,619
00019,141,1079,2486,1045,3395,91,1170,115,85,461
00020,173,1312,4166,1533,5491,122,1434,197,143,601
00021,218,1192,4275,1734,5725,154,1344,205,141,605
00022,26,425,185,104,244,11,436,18,15,187
00023,26,429,185,104,244,11,440,17,15,196
00024,278,1537,6885,2268,9120,207,1742,299,246,891
00025,116,987,550,255,831,24,1011,34,24,284
00026,59236,30697,9774,2039274,329098,0,30697,30316,551991,TIMEOUT
00027,59236,31647,75582,1397456,918961,0,31647,28760,554825,TIMEOUT
00028,59236,31647,80932,1491102,1010979,0,31647,31620,550374,TIMEOUT
00029,4884,4125,65910,321439,141158,2464,6589,4185,17059,23618
00030,5586,3717,70116,546096,190176,2471,6188,6583,31475,41662
00031,5586,3717,69522,532595,166266,2471,6188,6606,26786,36590
00032,5586,4130,100337,601905,219421,2471,6601,6921,38150,49201
00033,26956,9462,107571,1810332,2644259,1177,10639,55714,518117,TIMEOUT
00034,26956,9364,978472,2724153,1364264,4577,13941,49917,529346,TIMEOUT
00035,26956,9462,41771,1656618,1757225,0,9462,46458,529543,TIMEOUT
00036,26932,9456,41751,1647015,2274282,0,9456,53941,518942,TIMEOUT
00037,26916,9445,47440,1702888,2568306,31,9476,57288,513694,TIMEOUT
00038,26966,9457,40091,1585665,1328449,0,9457,40189,542462,TIMEOUT
00039,6858,4826,918557,794373,589789,3329,8155,14491,57897,77521
00040,87244,100788,4859,1051106,177686,376,101164,16832,569349,TIMEOUT
00041,28638,67437,10294,3148299,204197,0,67437,44157,528694,TIMEOUT
00042,30834,71082,12508,3016803,155452,386,71468,44028,530598,TIMEOUT
00043,37224,115810,8784,2576219,129719,0,115810,34874,540180,TIMEOUT
00044,28638,67400,10360,3215469,203782,0,67400,44672,529153,TIMEOUT
00045,84860,98674,4534,1139181,173618,376,99050,16362,567242,TIMEOUT
00046,30704,69253,9613,3115396,174477,0,69253,42346,532225,TIMEOUT
00047,28865,67547,9905,3093902,201143,0,67547,45684,527337,TIMEOUT
00049,30,51,82,48,104,8,59,18,13,155
00050,30,51,82,48,104,8,59,18,14,163
00051,0,0,0,0,0,0,0,0,0,49
00052,7528,25233,4159,0,21094,0,25233,332,421,2528
00053,0,1129,0,0,0,0,1129,0,0,167
00054,0,3,0,0,0,0,3,0,0,74
00055,46,212,29,12,56,2,214,7,7,151
00056,0,12,0,0,0,0,12,0,0,73
00057,3,11,3,3,9,0,11,2,3,88
00058,3,7,0,3,0,0,7,1,0,95
00059,5,47,0,5,0,0,47,1,0,105
00060,9,72,0,9,1,0,72,2,7,126
00061,0,6,0,0,0,0,6,0,0,72
00062,11,72,0,11,0,0,72,3,0,117
00063,12,61,0,12,0,0,61,3,0,120
00064,0,3,0,0,0,0,3,0,0,73
00065,3,12,2,3,4,0,12,2,2,97
00066,1,20,0,1,0,0,20,1,0,98
00067,0,24,0,0,0,0,24,0,0,83
00068,2,33,0,0,0,0,33,1,0,101
00069,1,8,0,1,0,0,8,1,0,91
00070,0,42,0,0,0,0,42,0,0,83
00071,1,14,0,1,0,0,14,1,0,95
00072,1,31,0,1,0,0,31,1,0,100
00073,6,77,2,6,0,1,78,2,2,121
00074,0,21,0,0,0,0,21,0,0,77
00075,2,125,0,2,0,1,126,1,2,118
00076,0,186,0,0,0,0,186,0,0,110
00077,0,4,0,0,0,0,4,0,0,74
00078,43,715,21,376,194,330,1045,24,27,238
00079,2,29,0,0,0,0,29,1,0,98
00080,0,26,0,0,0,0,26,0,0,78
00081,93,679,0,93,1,0,679,7,2,188
00082,356,263,46,13,503,2,265,23,30,253
00083,0,15,0,0,0,0,15,0,0,77
00084,0,4,0,0,0,0,4,0,0,73
00085,0,2,0,0,0,0,2,0,0,74
00086,0,0,0,0,0,0,0,0,0,50
00087,0,77,0,0,0,0,77,0,0,92
00088,0,105,0,0,0,0,105,0,0,94
00089,0,87,0,0,0,0,87,0,0,88
00090,0,66,0,0,0,0,66,0,0,89
00091,0,13,0,0,0,0,13,0,0,77
00092,0,32,0,0,0,0,32,0,0,80
00093,0,216,0,0,0,0,216,0,0,115
00094,17,138,2,17,12,11,149,5,5,140
00095,0,63,0,0,0,0,63,0,0,90
00096,0,0,0,0,0,0,0,0,0,52
00097,0,0,0,0,0,0,0,0,0,50
00098,0,0,0,0,0,0,0,0,0,52
00099,0,0,0,0,0,0,0,0,0,52
00100,0,0,0,0,0,0,0,0,0,49
00101,0,0,0,0,0,0,0,0,0,50
00102,0,0,0,0,0,0,0,0,0,49
00103,0,259,0,0,0,0,259,0,0,118
00104,0,1123,0,0,0,0,1123,0,0,165
00105,0,11,0,0,0,0,11,0,0,77
00106,4,43,2,4,4,0,43,2,2,108
00107,0,22,0,0,0,0,22,0,0,79
00108,0,16,0,0,0,0,16,0,0,75
00109,0,83,0,0,0,0,83,0,0,90
00110,317,244,37,12,428,1,245,22,19,228
00111,0,43,0,0,0,0,43,0,0,84
00112,20,113,14,37,33,11,124,7,7,144
00113,12,24,0,0,0,0,24,1,0,105
00114,42,25,144,207,216,53,78,49,33,214
00115,0,216,0,0,0,0,216,0,0,114
00116,13,30,2,28,3,15,45,7,13,125
00117,6858,4826,974592,852600,615715,3329,8155,14459,57329,76761
00118,39,89,49,99,83,17,106,18,17,184
00119,0,3,0,0,0,0,3,0,0,77
00120,17,53,20,21,20,3,56,6,7,129
00121,0,0,0,0,0,0,0,0,0,50
00122,0,2,0,0,0,0,2,0,0,72
00123,0,0,0,0,0,0,0,0,0,49
00124,0,0,0,0,0,0,0,0,0,59
00125,0,0,0,0,0,0,0,0,0,51
00126,0,0,0,0,0,0,0,0,0,51
00127,0,0,0,0,0,0,0,0,0,51
00128,0,1,0,0,0,0,1,0,0,70
00129,0,13,0,0,0,0,13,0,0,74
00130,0,3,0,0,0,0,3,0,0,71
00131,0,0,0,0,0,0,0,0,0,50
00132,0,18,0,0,0,0,18,0,0,76
00133,0,10,0,0,0,0,10,0,0,75
00134,0,0,0,0,0,0,0,0,0,49
00135,0,55,0,0,0,0,55,0,0,85
00136,0,48,0,0,0,0,48,0,0,85
00137,0,158,0,0,0,0,158,0,0,105
00138,0,386,0,0,0,0,386,0,0,117
00139,0,145,0,0,0,0,145,0,0,106
00140,0,511,0,0,0,0,511,0,0,142
00141,0,116,0,0,0,0,116,0,0,92
00142,0,604,0,0,0,0,604,0,0,143
00143,0,187,0,0,0,0,187,0,0,113
00144,0,2168,0,0,0,0,2168,0,0,210
00145,0,60,0,0,0,0,60,0,0,86
00146,0,1211,0,0,0,0,1211,0,0,167
00147,0,4,0,0,0,0,4,0,0,75
00148,0,629,0,0,0,0,629,0,0,139
00149,0,213,0,0,0,0,213,0,0,113
00150,0,84,0,0,0,0,84,0,0,90
00151,51,263,122,66,775,29,292,52,48,264
00152,0,22,0,0,0,0,22,0,0,82
00153,48,186,2,128,2,0,186,11,15,166
00154,0,6,0,0,0,0,6,0,0,73
00155,0,86,0,0,0,0,86,0,0,90
00156,0,0,0,0,0,0,0,0,0,49
00157,0,438,0,0,0,0,438,0,0,131
00159,0,316,0,0,0,0,316,0,0,123
00161,0,0,0,0,0,0,0,0,0,50
00162,0,9,0,0,0,0,9,0,0,72
00163,0,31,0,0,0,0,31,0,0,80
00164,3,31,0,4,0,1,32,1,2,92
00165,0,125,0,0,0,0,125,0,0,95
00166,0,10,0,0,0,0,10,0,0,80
00167,12,451,18,7,76,1,452,5,7,168
00168,0,47,0,0,0,0,47,0,0,86
00169,23,168,8,21,20,0,168,4,4,139
00170,9,120,4,9,3,0,120,2,2,127
00171,12,61,7,18,17,0,61,4,3,129
00172,216,190,2646,468,3404,26,216,127,84,411
00173,240,98,237,360,400,29,127,45,30,243
00174,4884,3712,61881,465763,145583,2464,6176,6187,25960,35365
00175,0,216,0,0,0,0,216,0,0,116
00176,50,70,24,75,34,24,94,12,13,155
00177,0,357,0,0,0,0,357,0,0,125
00178,0,46,0,0,0,0,46,0,0,88
00179,0,25,0,0,0,0,25,0,0,79
00180,0,0,0,0,0,0,0,0,0,52
00181,0,0,0,0,0,0,0,0,0,53
00182,0,0,0,0,0,0,0,0,0,51
00183,0,0,0,0,0,0,0,0,0,49
00184,0,0,0,0,0,0,0,0,0,51
00185,0,0,0,0,0,0,0,0,0,48
00186,0,0,0,0,0,0,0,0,0,56
00187,0,0,0,0,0,0,0,0,0,52
00188,0,0,0,0,0,0,0,0,0,52
00189,0,7,0,0,0,0,7,0,0,73
00190,0,12,0,0,0,0,12,0,0,74
00191,0,0,0,0,0,0,0,0,0,49
00192,0,0,0,0,0,0,0,0,0,53
00193,0,116,0,0,0,0,116,0,0,95
00194,0,0,0,0,0,0,0,0,0,50
00195,0,155,0,0,0,0,155,0,0,107
00196,0,36,0,0,0,0,36,0,0,82
00197,0,80,0,0,0,0,80,0,0,89
00198,0,85,0,0,0,0,85,0,0,91
00199,0,0,0,0,0,0,0,0,0,52
00200,0,42,0,0,0,0,42,0,0,87
00201,0,25,0,0,0,0,25,0,0,82
00202,0,165,0,0,0,0,165,0,0,112
00203,0,21,0,0,0,0,21,0,0,76
00204,0,67,0,0,0,0,67,0,0,89
00205,0,5,0,0,0,0,5,0,0,81
00206,0,8,0,0,0,0,8,0,0,76
00207,0,8,0,0,0,0,8,0,0,73
00208,0,9,0,0,0,0,9,0,0,75
