NAME,NFTGD_NB,FTGD_NB,SUBSUMED,NEW_FTGD_NB,NEW_NFTGD_NB,NEW_OUTPUT_SIZE,OUTPUT_SIZE,BODY_SK_ATOMS_MAX,EVOL_TIME,SUMB_TIME,TIME
00001,254,2468,141758,41629,120999,55,2523,N/A,14176,10715,27380
00002,432,941,3654,325,3460,161,1102,N/A,384,70,739
00003,16709,2159,26653,388,98897,0,2159,N/A,28679,564073,TIMEOUT
00004,16705,2107,25170,402,104282,0,2107,N/A,38653,547398,TIMEOUT
00005,16705,2107,27585,404,105121,0,2107,N/A,31887,566543,TIMEOUT
00006,1075,165,0,0,0,0,165,N/A,3,0,159
00007,22,168,22,5,18,0,168,N/A,19,4,121
00008,22,168,22,5,18,0,168,N/A,19,4,115
00009,22,168,22,5,18,0,168,N/A,19,4,114
00010,22,168,22,5,18,0,168,N/A,18,4,112
00011,22,168,22,5,18,0,168,N/A,18,4,112
00012,13,277,20,6,17,0,277,N/A,14,3,120
00013,76,1265,859591,305133,571314,105,1370,N/A,115109,156175,285892
00014,139,1533,1839961,602896,1257590,94,1627,N/A,229152,345975,TIMEOUT
00015,13,345,2943,1217,1907,11,356,N/A,561,77,851
00016,65,1055,671509,230761,453606,87,1142,N/A,87846,74537,173139
00017,65,1177,608945,226763,395279,87,1264,N/A,84914,71989,167261
00018,85,1129,1011511,350048,674371,126,1253,N/A,128331,165868,310205
00019,68,1078,672050,256319,430489,90,1168,N/A,111088,122927,246233
00020,83,1310,1673085,513589,1177636,69,1379,N/A,220199,357102,TIMEOUT
00021,110,1190,1362232,549202,828106,153,1341,N/A,215245,363053,TIMEOUT
00022,13,425,2479,993,1667,11,436,N/A,604,71,909
00023,13,429,4073,1665,2589,11,440,N/A,777,98,1140
00024,139,1533,1532832,610566,948968,203,1734,N/A,215461,353579,TIMEOUT
00025,68,987,574,126,471,24,1011,N/A,179,18,385
00026,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,18,ERROR
00027,23858,31647,9679,1818,8945,6,31653,N/A,628478,2210,TIMEOUT
00028,23858,31647,11777,2655,10247,6,31653,N/A,578756,1326,TIMEOUT
00029,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1326,ERROR
00030,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1326,ERROR
00031,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1326,ERROR
00032,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1326,ERROR
00033,12339,9462,71214,6333,71562,1,9463,N/A,536002,31842,TIMEOUT
00034,12339,9364,499556,60740,484723,45206,54570,N/A,501520,26894,TIMEOUT
00035,12339,9462,73519,6761,73906,1,9463,N/A,531968,31766,TIMEOUT
00036,12329,9456,90396,9646,90772,1,9457,N/A,528013,40029,TIMEOUT
00037,12323,9445,87411,7287,87773,1,9446,N/A,528561,33648,TIMEOUT
00038,12339,9457,112727,9096,113081,1,9458,N/A,517625,47012,TIMEOUT
00039,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,47012,ERROR
00040,43622,100787,38048,2329,39013,0,100787,N/A,543068,9704,TIMEOUT
00041,14319,67437,154576,433,163665,427,67864,N/A,530299,29962,TIMEOUT
00042,15417,71082,159048,822,167960,813,71895,N/A,533839,24768,TIMEOUT
00043,18612,115810,149799,512,158058,490,116300,N/A,529957,23086,TIMEOUT
00044,14319,67400,148577,433,157391,427,67827,N/A,527492,32721,TIMEOUT
00045,42430,98673,42569,6262,42732,290,98963,N/A,471730,2711,TIMEOUT
00046,15352,69253,151251,433,158002,427,69680,N/A,525872,27918,TIMEOUT
00047,14431,67545,137843,435,144399,427,67972,N/A,528053,33951,TIMEOUT
00049,15,51,90,33,65,8,59,N/A,60,9,159
00050,15,51,90,33,65,8,59,N/A,63,9,163
00051,0,0,0,0,0,0,0,N/A,0,0,14
00052,3764,25233,16931,0,16930,0,25233,N/A,2710,410,5252
00053,0,1129,0,0,0,0,1129,N/A,0,0,118
00054,0,3,0,0,0,0,3,N/A,0,0,36
00055,23,212,53,9,58,2,214,N/A,33,7,137
00056,0,12,0,0,0,0,12,N/A,0,0,38
00057,3,11,6,0,6,0,11,N/A,9,2,73
