NAME,NFTGD_NB,FTGD_NB,SUBSUMED,NEW_FTGD_NB,NEW_NFTGD_NB,NEW_OUTPUT_SIZE,OUTPUT_SIZE,NEW_RTGD_BSK,BODY_SK_ATOMS_MAX,EVOL_COUNT,EVOL_TIME,SUMB_TIME,TIME
00001,462,2468,0,368,5530,55,2523,160,1,6628,103,1,369
00002,834,941,0,980,3484,161,1102,585,1,4894,93,1,336
00003,33588,2159,0,1008309,5743426,0,2159,934968,1,7735837,47314,368,156477
00004,33580,2107,0,1008309,1940296,0,2107,934968,1,3932965,24453,156,74606
00005,33580,2107,0,1008309,1940296,0,2107,934968,1,3932965,24632,156,73522
00006,2150,165,0,0,0,0,165,0,0,2,1,0,185
00007,23,168,0,21,21,0,168,0,0,63,5,0,83
00008,23,168,0,21,21,0,168,0,0,63,5,0,82
00009,23,168,0,21,21,0,168,0,0,63,4,0,81
00010,23,168,0,21,21,0,168,0,0,63,5,0,90
00011,23,168,0,21,21,0,168,0,0,63,4,0,82
00012,13,277,0,13,11,0,277,0,0,40,3,0,84
00013,157,1267,0,2021,4553,107,1374,1524,2,7480,145,1,399
00014,278,1537,0,4593,9152,234,1771,3629,2,16248,254,1,619
00015,26,345,0,178,269,11,356,121,1,659,25,0,130
00016,135,1056,0,1685,3748,88,1144,1262,2,6016,118,1,348
00017,135,1178,0,1685,3746,88,1266,1262,2,5992,109,1,317
00018,171,1130,0,2263,4535,137,1267,1699,2,7864,171,1,399
00019,141,1079,0,1849,4174,91,1170,1402,2,6561,124,1,341
00020,173,1312,0,2515,5930,123,1435,1941,2,9555,171,1,436
00021,218,1192,0,3007,5895,176,1368,2272,2,10254,181,1,461
00022,26,425,0,178,269,11,436,121,1,659,25,0,125
00023,26,429,0,178,269,11,440,121,1,659,25,0,124
00024,278,1537,0,4592,9151,234,1771,3628,2,15745,246,1,642
00025,116,987,0,255,831,24,1011,0,0,1179,27,0,166
00026,59236,30697,0,5911532,384881,0,30697,5911532,2,6346068,100854,381,TIMEOUT
00027,59236,31647,0,5807531,535008,0,31647,5807531,2,6357524,141232,455,TIMEOUT
00028,59236,31647,0,5798587,534223,0,31647,5798587,2,6347763,123249,394,TIMEOUT
00029,4884,4125,0,4722987,9198126,790,4915,4722197,2,14192370,182242,761,TIMEOUT
00030,5586,3717,0,400191,40999,2477,6194,397712,2,447466,4072,26,9318
00031,5586,3717,0,400191,40999,2477,6194,397712,2,447467,3928,26,8946
00032,5586,4130,0,5658875,10731012,715,4845,5658158,2,16687475,189663,1032,TIMEOUT
