NAME,NFTGD_NB,FTGD_NB,SUBSUMED,NEW_FTGD_NB,NEW_NFTGD_NB,NEW_OUTPUT_SIZE,OUTPUT_SIZE,NEW_RTGD_BSK,BODY_SK_ATOMS_MAX,EVOL_COUNT,EVOL_TIME,SUMB_TIME,TIME
00001,462,2468,1413,365,4046,55,2523,160,1,4787,102,140,556
00002,834,941,1503,980,3484,161,1102,585,1,4894,91,162,524
00003,33588,2159,30444,269372,255622,0,2159,257850,1,543136,3888,586595,TIMEOUT
00004,33580,2107,33513,282459,251898,0,2107,269696,1,554512,3398,590164,TIMEOUT
00005,33580,2107,33513,282459,251898,0,2107,269696,1,554512,3681,588401,TIMEOUT
00006,2150,165,0,0,0,0,165,0,0,2,1,0,236
00007,23,168,8,21,20,0,168,0,0,60,4,3,100
00008,23,168,8,21,20,0,168,0,0,60,4,3,100
00009,23,168,8,21,20,0,168,0,0,60,4,3,103
00010,23,168,8,21,20,0,168,0,0,60,4,3,104
00011,23,168,8,21,20,0,168,0,0,60,4,3,100
00012,13,277,3,13,11,0,277,0,0,40,3,2,104
00013,157,1267,2255,1156,3130,107,1374,665,2,4299,111,77,413
00014,278,1537,4631,2410,6462,207,1742,1470,2,8909,158,195,680
00015,26,345,185,123,244,11,356,67,1,391,24,11,151
00016,135,1056,1904,996,2625,88,1144,579,2,3624,69,64,346
00017,135,1178,1905,997,2625,88,1266,580,2,3625,88,59,353
00018,171,1130,2414,1335,3307,127,1255,789,2,4643,90,126,434
00019,141,1079,2056,1044,2848,91,1170,603,2,3895,75,68,377
00020,173,1312,2843,1428,3995,122,1434,861,2,5434,110,109,492
00021,218,1192,3246,1761,4459,154,1344,1049,2,6229,105,155,521
00022,26,425,185,123,244,11,436,67,1,391,18,10,145
00023,26,429,185,123,244,11,440,67,1,391,17,11,149
00024,278,1537,4631,2410,6462,207,1742,1470,2,8909,152,239,694
00025,116,987,550,255,831,24,1011,0,0,1179,28,17,214
00026,59236,30697,1662,303473,21061,0,30697,303473,2,327207,3072,586113,TIMEOUT
00027,59236,31647,13981,318018,35173,0,31647,318018,2,354160,3315,585054,TIMEOUT
00028,59236,31647,15445,361473,38738,0,31647,361473,2,401276,3763,583297,TIMEOUT
00029,4884,4125,37909,306184,82907,2464,6589,303720,2,392214,2605,559323,568041
00030,5586,3717,8417,372684,40688,2395,6112,370289,2,419647,2721,600861,TIMEOUT
00031,5586,3717,8236,373817,40543,2327,6044,371490,2,420636,2854,593280,TIMEOUT
00032,5586,4130,42792,373605,96089,2303,6433,371302,2,473354,3150,591594,TIMEOUT
00033,26956,9462,5749,326817,33729,0,9462,326817,2,362732,3209,590671,TIMEOUT
00034,26956,9364,2356,311302,32095,0,9364,311302,2,346028,3008,588692,TIMEOUT
00035,26956,9462,5928,336686,34619,0,9462,336686,2,373542,3377,588331,TIMEOUT
00036,26932,9456,5701,324204,33469,0,9456,324204,2,359840,3233,587080,TIMEOUT
00037,26916,9445,5984,337982,34789,0,9445,337982,2,375012,3273,588778,TIMEOUT
00038,26966,9457,6028,341160,35039,0,9457,341160,2,378461,3173,587325,TIMEOUT
00039,6858,4826,15787,218881,49564,3329,8155,215552,2,275301,2013,389515,396206
00040,87244,100788,621,220892,2345,33,100821,220857,1,223322,1970,587715,TIMEOUT
00041,28638,67437,977,256560,3192,0,67437,256560,1,259914,2407,591449,TIMEOUT
00042,30834,71082,2560,240248,11265,386,71468,239857,1,251952,2377,588897,TIMEOUT
00043,37224,115810,810,237000,2461,0,115810,237000,1,239514,2304,596797,TIMEOUT
00044,28638,67400,969,266496,3063,0,67400,266496,1,269612,2494,592525,TIMEOUT
00045,84860,98674,554,217772,2144,33,98707,217737,1,220001,1945,607974,TIMEOUT
00046,30704,69253,910,259638,2865,0,69253,259638,1,262549,2226,593001,TIMEOUT
00047,28865,67547,969,266655,3081,0,67547,266655,1,269788,2315,589404,TIMEOUT
00049,30,51,82,48,104,8,59,14,1,196,17,9,117
00050,30,51,82,48,104,8,59,14,1,196,16,9,115
00051,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ERROR
00052,7528,25233,4159,0,21094,0,25233,0,0,25785,176,1840,3989
00053,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ERROR
00054,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ERROR
00055,46,212,29,12,56,2,214,10,1,101,7,5,116
