NAME,AXIOM_NB,OUTPUT_SIZE,TIME
00078,758,802,609
00112,123,139,304
00114,26,57,275
00116,37,47,271
00209,45,37,276
00214,32,29,264
00233,4,4,251
00238,19,17,255
00293,2743,2729,549
00301,131,134,291
00319,373,441,376
00320,213,279,344
00344,373,441,372
00345,373,441,376
00346,213,279,343
00348,159,191,317
00480,918,835,692
00511,614,638,450
00590,614,681,403
00636,2585,2745,746
00701,1820,3505,59005
00703,2347,4332,249396
00712,1160,2003,11980
00728,1586,2624,30866
00754,1882,3437,97838
00775,298,515,505
00778,91618,0,TIMEOUT
00781,373,442,1956
00782,373,441,667
00783,371,439,420
00792,56605,0,TIMEOUT
00793,284,340,446
