INPUT	MAT_FTGD_NB	MAT_GEN_SIZE	MAT_SIZE	MAT_GEN_TIME	MAT_TIME
00001	2523	1244	1768	58	454
00002	1102	515	810	4	231
00006	165	97	137	1	59
00007	168	75	115	1	55
00012	277	102	158	0	54
00013	1374	53	107	2	107
00015	356	13	25	1	37
00016	1144	32	71	1	78
00017	1266	31	70	1	100
00018	1255	47	95	1	108
00019	1170	34	76	2	88
00022	436	13	25	1	32
00023	440	13	25	0	36
00025	1011	23	56	1	62
00049	59	24	34	0	18
00052	25233	12362	18807	40	7560
00055	214	99	157	1	290
00057	11	3	9	0	8
00058	7	3	7	0	5
00059	47	23	31	0	10
00060	72	35	46	0	13
00062	72	36	48	1	14
00063	61	30	38	1	10
00065	12	2	5	0	5
00066	20	10	14	1	6
00068	33	15	22	0	8
00069	8	4	8	0	5
00071	14	7	12	0	6
00072	31	9	13	0	6
00073	78	41	49	0	14
00075	126	74	125	0	42
00078	1045	224	422	1	130
00079	29	14	29	0	16
00081	679	339	465	1	113
00082	265	184	240	1	66
00094	149	65	99	1	28
00106	43	16	26	1	11
00110	245	172	225	1	57
00112	124	32	69	0	22
00113	24	17	31	0	11
00114	78	10	19	0	10
00116	45	12	24	0	11
00118	106	27	53	1	23
00120	56	26	43	0	15
00151	292	68	124	0	41
00153	186	65	134	0	41
00164	32	15	19	0	11
00167	452	164	298	0	96
00169	168	75	115	0	31
00170	120	54	78	1	22
00171	61	16	21	0	11
00172	216	34	64	0	30
00173	127	70	96	1	34
00176	94	31	59	0	20
00209	27	25	42	0	14
00210	19	16	23	0	9
00212	3	3	5	0	5
00213	3	3	5	0	4
00214	21	16	27	0	9
00215	10	9	14	1	6
00217	8	9	12	1	6
00218	8	7	11	0	6
00220	3	4	7	0	5
00221	16	11	11	0	7
00222	51	37	54	0	18
00223	8	7	14	0	7
00224	7	5	11	0	6
00229	36	11	25	0	9
00230	5	6	9	0	5
00233	3	3	3	0	4
00235	18	13	22	0	9
00236	22	10	20	1	7
00237	2	2	4	1	4
00238	14	7	12	1	6
00241	28	0	0	0	3
00242	16	14	16	0	8
00267	7	7	10	0	6
00279	168	76	235	1	50
00281	356	13	25	1	24
00282	975	32	71	1	61
00283	1089	48	103	1	98
00286	39388	20804	27722	58	18086
00290	136	51	77	1	364
00293	2083	1299	1499	5	372
00296	66	14	23	0	22
00301	129	57	91	0	27
00316	42	24	51	0	14
00320	329	25	77	0	37
00332	230	79	136	0	37
00333	67	23	45	0	15
00339	94	34	62	0	19
00341	36	13	35	0	13
00347	104	47	72	0	18
00348	222	58	105	0	31
00349	104	47	72	0	24
00352	21688	2124	2580	6	2175
00353	21667	2053	2560	10	2702
00356	1901	1421	1939	3	956
00357	1981	1469	2010	2	411
00358	267	156	250	1	67
00359	181	156	206	0	47
00360	1616	1444	1604	3	323
00366	96	67	96	0	34
00368	25628	9016	16301	55	5830
00369	39919	13017	23850	51	12053
00370	56379	23889	37250	71	35583
00371	28375	9395	17324	34	7140
00372	1253	243	349	1	450
00373	1486	296	350	1	208
00374	37537	10567	18641	35	8192
00376	8301	329	397	2	1248
00377	7382	322	381	3	867
00384	1196	243	422	1	337
00385	1737	280	456	0	199
00386	28607	11093	19046	34	8078
00388	244	61	61	0	284
00389	200	71	71	0	37
00392	9492	191	192	4	777
00396	1772	273	464	2	453
00397	8721	720	1605	3	1030
00398	28188	9427	17333	29	6977
00399	1113	236	336	1	423
00400	30603	10675	18702	34	7574
00401	1256	249	297	1	432
00402	2230	1695	2293	3	508
00403	3894	3127	3963	7	881
00404	45	28	46	0	44
00405	49	31	50	0	15
00406	92	53	89	0	22
00407	97	56	94	1	27
00411	1199	635	971	1	2687
00412	3532	1822	2373	4	529
00413	4625	2445	3123	5	726
00414	52	25	25	1	35
00415	40014	18286	27891	53	17030
00416	56681	23763	37253	100	35768
00417	343	176	336	1	631
00418	397	199	358	1	97
00419	9785	1436	2074	6	920
00420	6074	2269	3128	6	981
00421	4651	210	457	2	504
00422	1051	189	402	1	271
00423	714	467	718	1	162
00424	2119	859	1236	2	304
00425	26750	13748	19745	30	8305
00426	44891	24063	31847	64	23568
00430	178	142	176	3	448
00432	137	108	139	0	53
00433	137	108	139	0	32
00435	9081	6843	8624	65	2227
00436	52853	9586	15412	40	7904
00445	1222	847	1169	2	1217
00446	1747	1019	1495	2	332
00448	67986	26793	35466	76	32341
00449	2162	1027	1705	5	1401
00450	3147	1942	2498	4	602
00451	2862	1754	2530	4	568
00452	4116	2788	3745	5	849
00454	3343	107	171	1	340
00457	1604	589	1153	3	320
00459	7330	4464	5893	11	1482
00460	11064	6062	7814	16	2156
00464	6	6	7	0	58
00465	132	128	135	1	35
00468	720	592	714	1	173
00469	878	652	822	1	164
00474	72	31	63	0	22
00475	83	39	75	0	20
00476	5016	658	1325	3	509
00496	3220	2562	2723	5	708
00497	23	23	24	0	48
00498	23	23	24	0	13
00500	4369	784	1122	2	550
00502	1926	1609	1900	4	504
00504	671	501	626	1	154
00505	151	117	156	1	48
00508	285	138	197	0	56
00512	1057	484	681	1	198
00513	309	185	303	1	85
00514	309	185	303	0	71
00515	2366	1906	2369	4	511
00519	93	83	102	1	60
00520	91	80	98	0	41
00521	3640	3640	3642	10	829
00522	169	161	172	1	74
00523	169	161	172	1	45
00526	282	196	255	1	68
00527	4	4	7	0	16
00530	10609	7569	9222	24	2453
00531	11839	8431	10285	21	2934
00532	38093	21242	29154	60	19165
00534	630	317	317	2	465
00538	204	69	69	1	51
00539	210	69	69	0	40
00540	14090	9252	11424	17	3459
00542	18	10	10	1	102
00543	18	10	10	0	14
00544	3271	2556	3147	5	732
00545	3351	2614	3220	6	743
00546	775	651	802	1	194
00547	780	655	807	2	166
00548	4361	4056	4363	7	1009
00550	853	581	754	1	195
00555	1066	482	791	1	194
00556	1976	920	1179	2	280
00560	133	44	77	1	49
00561	853	50	91	0	78
00562	710	386	614	1	139
00563	983	478	805	1	171
00566	50011	33173	44902	99	54119
00569	2442	1112	1554	4	901
00570	1102	661	962	2	228
00571	1357	840	1200	2	243
00574	2462	222	348	1	240
00575	2255	228	386	3	282
00576	90	24	49	0	46
00577	16	16	17	0	8
00580	272	227	275	0	76
00581	316	250	316	0	64
00582	711	459	603	1	133
00589	939	730	1051	2	208
00590	613	233	443	1	120
00591	2529	1422	1906	3	392
00592	3414	1384	1930	3	435
00593	2049	1622	2069	3	453
00594	1984	1662	1981	3	418
00595	21135	1717	2096	9	1898
00596	2022	1687	2020	4	908
00597	21174	1742	2136	9	2010
00598	1	1	2	1	481
00600	1983	1661	1980	4	442
00605	650	294	536	1	129
00626	2195	1106	1601	2	379
00627	2221	1610	2147	3	482
00631	2802	1474	2088	3	507
00632	2190	1109	1605	2	425
00636	1282	833	916	2	226
00637	233	61	118	0	50
00638	320	82	141	0	51
00639	254	190	272	1	64
00640	394	278	403	1	85
00645	1594	1259	1581	2	325
00646	2301	1802	2230	3	481
00648	232	185	234	0	71
00649	284	245	273	1	65
00657	3405	1663	2163	4	607
00665	21407	1908	2363	10	2182
00666	20971	1067	1534	8	2462
00667	506	419	553	1	656
00669	4880	3544	3872	10	890
00670	5693	3925	4511	11	1111
00673	1929	1065	1776	3	449
00676	4756	963	1281	3	600
00677	3926	820	1105	3	582
00678	30739	6758	8635	24	4168
00679	1293	130	238	1	786
00680	29305	6939	8748	23	4059
00681	57	54	73	1	574
00682	68461	27018	36005	88	34352
00683	85	39	42	1	1024
00685	1197	268	367	1	258
00687	92	92	102	1	52
00689	451	394	463	1	96
00690	975	828	969	2	193
00694	1624	1299	1610	3	328
00695	2842	2372	2789	6	602
00700	1025	324	566	1	196
00702	789	220	403	1	132
00704	419	140	253	0	80
00705	337	151	260	1	73
00706	336	144	258	0	76
00707	280	121	209	1	66
00708	159	76	129	0	41
00709	145	70	127	0	38
00710	235	115	204	0	59
00711	289	105	182	1	59
00712	993	352	509	1	145
00713	425	185	324	0	97
00714	195	101	171	0	51
00715	451	204	375	1	106
00716	605	234	410	1	120
00717	43	17	36	1	17
00718	127	53	96	0	30
00719	421	185	318	1	93
00720	254	84	150	0	51
00721	213	95	172	0	53
00722	490	150	256	0	78
00723	249	104	179	0	57
00724	947	238	407	1	134
00725	44	17	35	0	19
00726	388	106	185	0	60
00727	985	239	409	1	133
00728	1357	461	674	1	208
00729	94	38	70	0	31
00730	42	16	34	0	14
00731	173	79	140	0	41
00732	391	154	267	0	79
00733	676	244	433	1	128
00734	114	57	97	0	35
00735	287	118	201	1	60
00736	48	17	35	0	15
00737	228	96	174	0	51
00738	211	76	132	1	43
00739	271	93	164	1	54
00740	316	129	207	0	62
00741	722	227	379	1	117
00742	198	83	153	1	50
00743	961	174	313	0	110
00744	303	98	175	1	58
00745	335	127	232	0	70
00746	468	172	306	0	95
00747	437	146	267	1	83
00748	271	96	169	0	57
00749	517	158	285	0	86
00750	283	75	136	1	48
00751	253	102	187	0	57
00752	788	222	406	1	127
00753	221	93	170	1	58
00754	1604	614	861	2	246
00755	471	166	295	1	99
00756	597	197	354	1	112
00759	5405	1951	4738	5	1208
00763	369	82	168	1	90
00766	20181	840	1231	8	1789
00768	5840	2012	4799	5	1761
00769	2653	1924	2366	4	577
00770	2754	1928	2372	3	540
00772	656	274	507	0	164
00773	620	168	258	0	81
00784	1013	18	43	1	72
00788	2296	940	1411	3	388
00789	2351	943	1410	3	404
00790	2556	1054	1556	3	455
00793	233	72	100	0	81
