NAME,NFTGD_NB,FTGD_NB,SUBSUMED,NEW_FTGD_NB,NEW_NFTGD_NB,NEW_OUTPUT_SIZE,OUTPUT_SIZE,NEW_RTGD_BSK,BODY_SK_ATOMS_MAX,EVOL_COUNT,EVOL_TIME,SUMB_TIME,TIME
00001,462,2468,1515,214,4422,55,2523,N/A,N/A,N/A,N/A,76,533
00002,834,941,1513,398,3914,161,1102,N/A,N/A,N/A,N/A,49,489
00006,2150,165,0,0,2,0,165,N/A,N/A,N/A,N/A,2,227
00007,23,168,8,21,39,0,168,N/A,N/A,N/A,N/A,4,93
00012,13,277,7,13,27,0,277,N/A,N/A,N/A,N/A,3,94
00013,157,1267,2149,509,3082,107,1374,N/A,N/A,N/A,N/A,48,450
00015,26,345,190,61,260,11,356,N/A,N/A,N/A,N/A,10,146
00016,135,1056,1798,433,2561,88,1144,N/A,N/A,N/A,N/A,30,397
00017,135,1178,1798,433,2561,88,1266,N/A,N/A,N/A,N/A,31,396
00018,171,1130,2269,576,3223,127,1255,N/A,N/A,N/A,N/A,39,470
00019,141,1079,1941,458,2777,91,1170,N/A,N/A,N/A,N/A,34,422
00022,26,425,190,61,260,11,436,N/A,N/A,N/A,N/A,9,147
00023,26,429,190,61,260,11,440,N/A,N/A,N/A,N/A,10,137
00025,116,987,577,255,924,24,1011,N/A,N/A,N/A,N/A,14,195
00049,30,51,100,36,148,8,59,N/A,N/A,N/A,N/A,10,104
00052,7528,25233,5535,0,25785,0,25233,N/A,N/A,N/A,N/A,341,2519
00055,46,212,50,10,89,2,214,N/A,N/A,N/A,N/A,6,107
00057,3,11,3,3,9,0,11,N/A,N/A,N/A,N/A,2,47
00058,3,7,0,3,3,0,7,N/A,N/A,N/A,N/A,2,45
00059,5,47,0,5,5,0,47,N/A,N/A,N/A,N/A,2,53
00060,9,72,0,9,10,0,72,N/A,N/A,N/A,N/A,2,57
00062,11,72,0,11,11,0,72,N/A,N/A,N/A,N/A,2,59
00063,12,61,0,12,12,0,61,N/A,N/A,N/A,N/A,3,63
00065,3,12,2,3,7,0,12,N/A,N/A,N/A,N/A,2,47
00066,1,20,0,1,1,0,20,N/A,N/A,N/A,N/A,3,47
00068,2,33,0,0,2,0,33,N/A,N/A,N/A,N/A,2,48
00069,1,8,0,1,1,0,8,N/A,N/A,N/A,N/A,2,41
00071,1,14,0,1,1,0,14,N/A,N/A,N/A,N/A,2,46
00072,1,31,0,1,1,0,31,N/A,N/A,N/A,N/A,2,46
00073,6,77,2,6,6,1,78,N/A,N/A,N/A,N/A,3,60
00075,2,125,0,2,2,1,126,N/A,N/A,N/A,N/A,2,67
00078,43,715,39,376,255,330,1045,N/A,N/A,N/A,N/A,12,182
00079,2,29,0,0,2,0,29,N/A,N/A,N/A,N/A,2,48
00081,93,679,0,93,94,0,679,N/A,N/A,N/A,N/A,5,137
00082,356,263,46,13,652,2,265,N/A,N/A,N/A,N/A,14,190
00094,17,138,5,17,32,11,149,N/A,N/A,N/A,N/A,4,81
00106,4,43,2,4,8,0,43,N/A,N/A,N/A,N/A,2,52
00110,317,244,37,12,562,1,245,N/A,N/A,N/A,N/A,14,191
00112,20,113,20,24,37,11,124,N/A,N/A,N/A,N/A,5,92
00113,12,24,0,0,8,0,24,N/A,N/A,N/A,N/A,2,52
00114,42,25,33,60,78,53,78,N/A,N/A,N/A,N/A,12,137
00116,13,30,14,24,28,15,45,N/A,N/A,N/A,N/A,6,66
00118,39,89,46,40,93,17,106,N/A,N/A,N/A,N/A,10,116
00120,17,53,26,16,32,3,56,N/A,N/A,N/A,N/A,5,76
00151,51,263,357,66,1145,29,292,N/A,N/A,N/A,N/A,32,218
00153,48,186,24,14,26,0,186,N/A,N/A,N/A,N/A,3,107
00164,3,31,0,4,0,1,32,N/A,N/A,N/A,N/A,2,48
00167,12,451,17,7,87,1,452,N/A,N/A,N/A,N/A,6,112
00169,23,168,8,21,39,0,168,N/A,N/A,N/A,N/A,4,96
00170,9,120,4,9,11,0,120,N/A,N/A,N/A,N/A,3,73
00171,12,61,7,18,28,0,61,N/A,N/A,N/A,N/A,4,65
00172,216,190,2620,382,3512,26,216,N/A,N/A,N/A,N/A,61,388
00173,240,98,218,125,520,29,127,N/A,N/A,N/A,N/A,16,225
00176,50,70,14,40,41,24,94,N/A,N/A,N/A,N/A,7,100
00209,18,27,2,0,20,0,27,N/A,N/A,N/A,N/A,4,70
00210,6,19,6,0,12,0,19,N/A,N/A,N/A,N/A,3,53
00212,2,3,0,0,2,0,3,N/A,N/A,N/A,N/A,2,40
00213,2,3,0,0,2,0,3,N/A,N/A,N/A,N/A,2,42
00214,11,21,3,0,16,0,21,N/A,N/A,N/A,N/A,3,57
00215,7,10,6,0,13,0,10,N/A,N/A,N/A,N/A,3,50
00217,1,8,0,0,1,0,8,N/A,N/A,N/A,N/A,2,42
00218,6,8,1,0,8,0,8,N/A,N/A,N/A,N/A,2,48
00220,2,3,0,0,2,0,3,N/A,N/A,N/A,N/A,2,42
00221,1,16,1,0,2,0,16,N/A,N/A,N/A,N/A,2,46
00222,5,51,5,0,10,0,51,N/A,N/A,N/A,N/A,3,57
00223,4,8,2,0,6,0,8,N/A,N/A,N/A,N/A,2,46
00224,2,7,0,0,3,0,7,N/A,N/A,N/A,N/A,2,45
00229,2,36,2,2,5,0,36,N/A,N/A,N/A,N/A,2,51
00230,2,5,0,0,2,0,5,N/A,N/A,N/A,N/A,2,41
00233,1,3,0,0,1,0,3,N/A,N/A,N/A,N/A,2,44
00235,6,18,0,0,10,0,18,N/A,N/A,N/A,N/A,2,55
00236,6,22,0,6,6,0,22,N/A,N/A,N/A,N/A,2,50
00237,1,2,0,0,1,0,2,N/A,N/A,N/A,N/A,2,42
00238,5,14,4,1,14,0,14,N/A,N/A,N/A,N/A,3,55
00241,1,28,3,2,6,0,28,N/A,N/A,N/A,N/A,2,47
00242,5,16,6,0,11,0,16,N/A,N/A,N/A,N/A,2,50
00267,4,7,0,0,4,0,7,N/A,N/A,N/A,N/A,2,47
00279,26,168,0,14,38,0,168,N/A,N/A,N/A,N/A,4,89
00281,26,345,190,61,260,11,356,N/A,N/A,N/A,N/A,10,149
00282,137,884,1818,440,2587,91,975,N/A,N/A,N/A,N/A,30,431
00283,173,961,2289,583,3249,130,1089,N/A,N/A,N/A,N/A,40,484
00286,27922,32979,42301,13961,122789,6409,39388,N/A,N/A,N/A,N/A,1383,6945
00290,12,136,12,5,27,0,136,N/A,N/A,N/A,N/A,4,92
00293,16,2083,0,1,16,0,2083,N/A,N/A,N/A,N/A,2,174
00296,19,66,55,28,69,0,66,N/A,N/A,N/A,N/A,6,87
00301,3,129,1,3,3,0,129,N/A,N/A,N/A,N/A,2,76
00316,1,42,0,0,1,0,42,N/A,N/A,N/A,N/A,2,48
00320,125,146,793,917,488,209,329,N/A,N/A,N/A,N/A,50,235
00332,9,228,10,9,24,2,230,N/A,N/A,N/A,N/A,3,87
00333,5,66,6,5,11,1,67,N/A,N/A,N/A,N/A,3,57
00339,4,93,4,4,9,1,94,N/A,N/A,N/A,N/A,3,59
00341,2,33,1,3,3,3,36,N/A,N/A,N/A,N/A,2,49
00347,16,98,15,17,32,6,104,N/A,N/A,N/A,N/A,5,86
00348,30,159,34,88,72,63,222,N/A,N/A,N/A,N/A,10,114
00349,16,98,15,17,32,6,104,N/A,N/A,N/A,N/A,4,89
00352,442,3256,825,19013,2441,18432,21688,N/A,N/A,N/A,N/A,480,3536
00353,442,3235,825,19013,2441,18432,21667,N/A,N/A,N/A,N/A,530,3572
00356,3438,1901,34,0,1779,0,1901,N/A,N/A,N/A,N/A,29,467
00357,3588,1981,47,0,2165,0,1981,N/A,N/A,N/A,N/A,34,511
00358,202,267,46,0,712,0,267,N/A,N/A,N/A,N/A,17,189
00359,1030,181,0,0,219,0,181,N/A,N/A,N/A,N/A,8,186
00360,2118,1616,39,0,3442,0,1616,N/A,N/A,N/A,N/A,65,520
