NAME,NFTGD_NB,FTGD_NB,SUBSUMED,NEW_FTGD_NB,NEW_NFTGD_NB,NEW_OUTPUT_SIZE,OUTPUT_SIZE,TIME
00001,253,4873,162892,4549008,2358967,187,5060,67627
00002,431,2900,3880,579159,231219,161,3061,3735
00003,16709,3352,N/A,N/A,N/A,N/A,N/A,TIMEOUT
00004,16705,2114,N/A,N/A,N/A,N/A,N/A,TIMEOUT
00005,16705,3218,N/A,N/A,N/A,N/A,N/A,TIMEOUT
00006,1075,166,2,579517,0,0,166,326
00007,22,255,45,694,41,1,256,296
00008,22,255,42,694,41,1,256,361
00009,22,255,42,694,41,1,256,302
00010,22,255,44,697,41,1,256,303
00011,22,255,49,697,41,1,256,324
00012,12,293,20,204,0,0,293,256
00013,74,1315,N/A,N/A,N/A,N/A,N/A,TIMEOUT
00014,130,1602,N/A,N/A,N/A,N/A,N/A,TIMEOUT
00015,13,367,5423,9917,3422,24,391,3226
00016,64,1104,N/A,N/A,N/A,N/A,N/A,TIMEOUT
00017,64,1226,N/A,N/A,N/A,N/A,N/A,TIMEOUT
00018,84,1185,N/A,N/A,N/A,N/A,N/A,TIMEOUT
00019,67,1127,N/A,N/A,N/A,N/A,N/A,TIMEOUT
00020,80,1368,N/A,N/A,N/A,N/A,N/A,TIMEOUT
00021,104,1249,N/A,N/A,N/A,N/A,N/A,TIMEOUT
00022,13,447,6745,13462,3682,24,471,3579
00023,13,451,5261,10379,3803,24,475,3109
00024,130,1602,N/A,N/A,N/A,N/A,N/A,TIMEOUT
00025,66,994,760,17014,6212,23,1017,949
00026,23858,30698,N/A,N/A,N/A,N/A,N/A,TIMEOUT
00027,23858,31648,N/A,N/A,N/A,N/A,N/A,TIMEOUT
00028,23858,31648,N/A,N/A,N/A,N/A,N/A,TIMEOUT
00029,1776,4040,N/A,N/A,N/A,N/A,N/A,TIMEOUT
00030,2096,3627,N/A,N/A,N/A,N/A,N/A,TIMEOUT
00031,2096,3627,N/A,N/A,N/A,N/A,N/A,TIMEOUT
00032,2096,4040,N/A,N/A,N/A,N/A,N/A,TIMEOUT
00033,12339,9463,N/A,N/A,N/A,N/A,N/A,TIMEOUT
00034,12339,9365,N/A,N/A,N/A,N/A,N/A,TIMEOUT
00035,12339,9463,N/A,N/A,N/A,N/A,N/A,TIMEOUT
00036,12329,9457,N/A,N/A,N/A,N/A,N/A,TIMEOUT
00037,12323,9446,N/A,N/A,N/A,N/A,N/A,TIMEOUT
00038,12339,9458,N/A,N/A,N/A,N/A,N/A,TIMEOUT
00039,2437,4827,N/A,N/A,N/A,N/A,N/A,TIMEOUT
00040,43604,101111,N/A,N/A,N/A,N/A,N/A,TIMEOUT
00041,14319,67444,N/A,N/A,N/A,N/A,N/A,TIMEOUT
00042,15417,71124,N/A,N/A,N/A,N/A,N/A,TIMEOUT
00044,14319,67428,N/A,N/A,N/A,N/A,N/A,TIMEOUT
00045,42412,98960,N/A,N/A,N/A,N/A,N/A,TIMEOUT
00046,15352,69297,N/A,N/A,N/A,N/A,N/A,TIMEOUT
00047,14431,67552,N/A,N/A,N/A,N/A,N/A,TIMEOUT
00048,14739,70655,N/A,N/A,N/A,N/A,N/A,TIMEOUT
00049,15,97,115,744,400,8,105,465
00050,15,96,174,717,431,8,104,423
00051,0,0,0,0,0,0,0,76
00052,3764,25234,20245,44139854,0,0,25234,19487
00053,0,1130,0,0,0,0,1130,306
00054,0,4,0,0,0,0,4,116
00055,23,223,64,689,62,2,225,355
00056,0,13,0,0,0,0,13,122
00057,3,12,6,18,0,0,12,160
00058,3,8,3,12,0,0,8,152
00059,5,48,5,30,0,0,48,176
00060,9,73,10,93,0,0,73,225
00061,0,7,0,0,0,0,7,118
00062,10,73,10,110,0,0,73,202
00063,12,62,12,156,0,0,62,218
00064,0,4,0,0,0,0,4,117
00065,3,13,5,17,0,0,13,165
00066,1,21,1,2,0,0,21,167
00067,0,25,0,0,0,0,25,134
00068,2,34,2,6,0,0,34,172
00069,1,9,1,2,0,0,9,143
00070,0,43,0,0,0,0,43,136
00071,1,15,1,2,0,0,15,152
00072,1,32,1,2,0,0,32,169
00073,6,78,10,42,6,1,79,202
00074,0,22,0,0,0,0,22,123
00075,2,126,2,6,3,1,127,203
00076,0,187,0,0,0,0,187,174
00077,0,5,0,0,0,0,5,115
00078,10,749,72,335,173,5,754,383
00079,2,33,2,6,0,0,33,154
00080,0,27,0,0,0,0,27,123
00081,93,681,94,8743,0,0,681,463
00082,196,264,610,92074,733,2,266,757
00083,0,16,0,0,0,0,16,126
00084,0,5,0,0,0,0,5,116
00085,0,3,0,0,0,0,3,111
00086,0,1,0,0,0,0,1,114
00087,0,80,0,0,0,0,80,144
00088,0,108,0,0,0,0,108,148
00089,0,90,0,0,0,0,90,144
00090,0,69,0,0,0,0,69,142
00091,0,14,0,0,0,0,14,123
00092,0,33,0,0,0,0,33,127
00093,0,217,0,0,0,0,217,180
00094,17,141,41,409,287,11,152,250
00095,0,66,0,0,0,0,66,153
00096,0,1,0,0,0,0,1,126
00097,0,1,0,0,0,0,1,118
00098,0,1,0,0,0,0,1,119
00099,0,1,0,0,0,0,1,121
00100,0,1,0,0,0,0,1,147
00101,0,1,0,0,0,0,1,114
00102,0,1,0,0,0,0,1,128
00103,0,264,0,0,0,0,264,195
00104,0,1125,0,0,0,0,1125,260
00105,0,12,0,0,0,0,12,144
00106,4,44,6,25,0,0,44,179
00107,0,23,0,0,0,0,23,122
00108,0,17,0,0,0,0,17,121
