NAME,NFTGD_NB,FTGD_NB,SUBSUMED,NEW_FTGD_NB,NEW_NFTGD_NB,NEW_OUTPUT_SIZE,OUTPUT_SIZE,TIME
00001,253,2475,153259,43660,130468,54,2529,65982
00002,431,942,4763,2002,2893,161,1103,3198
00003,16709,3263,58265,5137,107517,139,3402,TIMEOUT
00004,16705,2107,16833,389,78642,0,2107,TIMEOUT
00005,16705,3211,50329,893,104463,0,3211,TIMEOUT
00006,1075,165,2,0,2,0,165,370
00007,22,169,44,8,37,0,169,276
00008,22,169,45,7,39,0,169,250
00009,22,169,45,7,39,0,169,250
00010,22,169,44,5,40,0,169,264
00011,22,169,45,9,37,0,169,276
00012,12,279,21,3,18,0,279,218
00013,74,1265,1054769,351140,720297,104,1369,TIMEOUT
00014,130,1545,524287,250693,281669,9,1554,TIMEOUT
00015,13,345,4905,1756,3330,11,356,3468
00016,64,1055,953221,274335,691983,87,1142,259244
00017,64,1177,958622,291625,679647,87,1264,TIMEOUT
00018,84,1136,936039,341442,606240,69,1205,TIMEOUT
00019,67,1078,954061,319265,647403,69,1147,TIMEOUT
00020,80,1315,749315,256717,503862,22,1337,TIMEOUT
00021,104,1197,1001069,252441,761597,149,1346,272366
00022,13,425,4158,1567,2772,11,436,3632
00023,13,429,6029,2339,3871,11,440,4145
00024,130,1545,484165,227556,265821,9,1554,TIMEOUT
00025,66,987,837,395,464,23,1010,1081
00026,23858,30697,83639,4213,80706,6,30703,TIMEOUT
00027,23858,31647,55885,1383,55606,6,31653,TIMEOUT
00028,23858,31647,49200,1662,48634,6,31653,TIMEOUT
00029,1776,4039,178695,0,182526,0,4039,TIMEOUT
00030,2096,3626,364715,0,369764,0,3626,TIMEOUT
00031,2096,3626,316261,0,319795,0,3626,TIMEOUT
00032,2096,4039,180947,0,182859,0,4039,TIMEOUT
00033,12339,9462,18733,2261,18950,1,9463,TIMEOUT
00034,12339,9364,266523,86694,193062,12232,21596,TIMEOUT
00035,12339,9462,17308,2344,17530,1,9463,TIMEOUT
00036,12329,9456,18254,2504,17636,1,9457,TIMEOUT
00037,12323,9445,25534,2524,25009,1,9446,TIMEOUT
00038,12339,9457,25046,2587,24994,1,9458,TIMEOUT
00039,2437,4826,311584,0,313769,0,4826,TIMEOUT
00040,43604,100787,12159,653,12901,0,100787,TIMEOUT
