NAME,NFTGD_NB,FTGD_NB,SUBSUMED,NEW_FTGD_NB,NEW_NFTGD_NB,NEW_OUTPUT_SIZE,OUTPUT_SIZE,NEW_RTGD_BSK,BODY_SK_ATOMS_MAX,EVOL_COUNT,EVOL_TIME,SUMB_TIME,TIME
00052,7528,25233,4159,0,21094,0,25233,0,0,25785,186,2060,4262
00286,27922,32979,12352,13961,78879,6409,39388,0,0,136750,933,26760,31895
00368,13314,25628,11825,0,57630,0,25628,0,0,70191,465,9318,12434
00369,21956,39919,27304,0,116213,0,39919,0,0,139234,1082,32669,37695
00370,24140,56379,28944,0,124947,0,56379,0,0,150141,1028,43209,49238
00371,14928,27758,20801,116300,78020,617,28375,115683,1,196533,1721,187124,194215
00374,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ERROR
00386,15118,28570,15788,7787,69625,37,28607,7750,1,80158,678,23879,27813
00397,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ERROR
00398,14838,27696,20387,94656,77566,492,28188,94164,1,174434,1424,140155,146225
00400,15998,29907,16277,107373,70000,696,30603,106677,1,192440,1516,246055,252792
00415,15504,39986,13655,22903,66767,28,40014,22875,1,104173,794,17042,21542
00416,24538,56650,29391,40008,126748,31,56681,39977,1,192207,1503,124063,131675
00425,23250,26750,68879,0,270765,0,26750,0,0,282843,1576,51697,58158
00426,48842,44891,158237,0,607213,0,44891,0,0,633666,4785,316550,331800
00436,4616,24014,489,278928,1816,0,24014,278928,1,280761,2600,595226,TIMEOUT
00448,49694,49406,196131,91000,642471,18149,67555,72654,1,760114,6435,580474,TIMEOUT
00485,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ERROR
00521,14552,3640,0,0,0,0,3640,0,0,7264,96,0,1268
00532,23886,38045,70427,38769,276079,48,38093,38721,1,327125,2161,66691,75175
00535,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ERROR
00540,3308,13265,2854,236936,6186,826,14090,236110,1,244782,2645,457865,469119
00566,4990,49983,9531,659,45933,28,50011,199,1,49342,402,3106,6632
00678,15114,11217,22829,134445,22811,19522,30739,114726,1,162724,1694,176422,182361
00682,49402,50011,177654,84590,609515,18450,68461,65943,1,720600,6429,545137,565062
00700,4350,1025,3659,239685,7356,0,1025,239367,1,396261,3113,389778,399733
00701,3944,982,5098,152984,13074,607,1589,151262,1,254434,2104,173755,180029
00702,3050,789,2628,92208,5475,0,789,92052,1,185934,1896,78045,83186
00703,4906,1210,4057,252175,11581,0,1210,251948,1,448252,3823,589790,TIMEOUT
00715,2080,451,1772,63431,3562,0,451,63273,1,118808,1105,33119,36370
00716,2602,605,2186,99972,4364,0,605,99774,1,164272,1520,89849,94413
00724,3650,947,3044,139440,6226,0,947,139224,1,232026,2039,161248,167329
00727,3922,985,3211,153985,6556,0,985,153761,1,242429,2095,207327,213773
00733,2992,676,2416,133408,4730,0,676,133152,1,206016,1830,150646,156215
00741,3424,722,2819,135018,5650,0,722,134774,1,206491,1747,147576,153003
00752,3346,788,2734,116514,5633,0,788,116336,1,207291,1825,120904,126434
00754,3742,973,4771,150959,12286,631,1604,149095,1,295498,2407,162975,169985
00756,2356,597,1961,78375,3931,0,597,78203,1,131878,1276,47211,50977
